Pucon,29782,19,63.8,2,6.7,2,6.7,0O13,0,4,3,1,3,0211
Puren ,12188 ,7 ,57.4 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 ,2 ,O ,O ,2 ,O ,2 1 0 0 
Renaico ,10833 ,19 ,175.4 ,5 ,46.2 ,5 ,46.2 ,O O 0 O ,O ,1 ,3 ,2 ,1 ,4 3 4 1 
Saavedra & ,12793 ,80 ,625.3 ,22 ,172.0 ,22 ,172.0 ,O O 1 1 ,0 ,1 ,5 ,8 ,17 ,13 18 10 6 
Temuco ,302931 ,793 ,261.8 ,60 ,19.8 ,60 ,19.8 ,0 4 26 155 ,176 ,128 ,107 ,58 ,22 ,27 46 43 1 
Teodoro Schmidt ,15786 ,7 ,44.3 ,2 ,12.7 ,2 ,12.7 ,O O 0 1 ,2 ,O ,1 ,1 ,O ,O 0 2 0 
Tolten ,10055 ,8 ,79.6 ,O ,0.0 ,0 ,0.0 ,O O 0 4 ,2 ,2 ,O ,O ,O ,0 O O O 
Traiguen ,19314 ,8 ,41.4 ,5 ,25.9 ,5 ,25.9 ,O O O O ,O ,1 ,O ,1 ,O ,0 1 4 1 
Victoria ,35467 ,81 ,228.4 ,2 ,5.6 ,2 ,5.6 ,O O 1 2 ,9 ,2 ,3 ,28 ,21 ,11 2 2 0 
Vilcun ,30766 ,63 ,204.8 ,9 ,29.3 ,9 ,29.3 ,O O 0 6 ,11 ,15 ,8 ,3 ,5 ,4 5 6 0 
Villarrica ,59103 ,22 ,37.2 ,1 ,1.7 ,1 ,1.7 ,O 0 0 2 ,10 ,6 ,1 ,0 ,1 ,0 1 1 0 
Total ,1014343 ,1732 ,170.8 ,225 ,22.2 ,225 ,22.2 ,1 5 32 216 ,293 ,241 ,195 ,199 ,131 ,100 142 143 34 
