Romeral,16170,18,111.3,5,30.9,5,30.9,00O120,010O0O,1
Sagrada Familia ,19469 ,6 ,30.8 ,3 ,15.4 ,3 ,15.4 ,O O 0 0 O 1 ,0 1 O O 1 ,O 
San Clemente ,46292 ,55 ,118.8 ,22 ,47.5 ,22 ,47.5 ,O O O O O 1 ,2 6 1 8 6 ,13 
San Javier ,49451 ,49 ,99.1 ,8 ,16.2 ,8 ,16.2 ,0 O O O 2 6 ,4 7 4 3 8 ,8 
San Rafael ,9959 ,45 ,451.9 ,30 ,301.2 ,30 ,301.2 ,0 0 O 0 1 O ,1 1 0 0 5 ,9 
Talca ,236724 ,311 ,131.4 ,79 ,33.4 ,79 ,33.4 ,0 3 9 13 19 11 ,16 74 16 12 21 ,48 
Teno ,30850 ,12 ,38.9 ,3 ,9.7 ,3 ,9.7 ,O O O O O O ,1 1 1 3 1 ,3 
Vichuquen ,4381 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O ,O O O O O ,O 
Villa Alegre ,17512 ,6 ,34.3 ,2 ,11.4 ,2 ,11.4 ,0 0 O 0 0 O ,1 1 O O 1 ,2 
Yerbas Buenas8 ,19200 ,24 ,125.0 ,11 ,57.3 ,11 ,57.3 ,0 0 O O O O ,1 O 2 0 4 ,9 
Total ,1131939 ,1207 ,106.6 ,477 ,42.1 ,476 ,42.1 ,1 4 12 26 51 47 ,66 160 48 48 109 ,225 
