Peumo,14952,2,13.4,1,6.7,1,6.7,OOOO1OO,OO1
Pichidegua ,20743 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O O O O O ,0 O O 
Pichilemu ,17882 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O O O O ,0 O 0 
Placilla ,9164 ,1 ,10.9 ,O ,0.0 ,O ,0.0 ,O O O O 1 O O ,O O O 
Pumanque ,3531 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,O O O 
Quinta de Tilcoco ,13877 ,1 ,7.2 ,O ,0.0 ,O ,0.0 ,O 0 O 1 O O O ,O O O 
Rancagua ,265211 ,38 ,14.3 ,15 ,5.7 ,15 ,5.7 ,O O O 7 4 7 3 ,6 9 2 
Rengo ,63710 ,8 ,12.6 ,5 ,7.8 ,5 ,7.8 ,O O O 1 1 0 0 ,2 4 0 
Requinoa ,30371 ,4 ,13.2 ,2 ,6.6 ,2 ,6.6 ,O 0 O 2 O O O ,O 2 O 
San Fernando ,78642 ,5 ,6.4 ,1 ,1.3 ,1 ,1.3 ,O 0 O 2 O 1 O ,1 1 O 
San Vicente ,50617 ,8 ,15.8 ,4 ,7.9 ,4 ,7.9 ,O 0 O O 3 1 O ,O 2 2 
Santa Cruz ,41096 ,2 ,4.9 ,0 ,0.0 ,O ,0.0 ,O O O O 1 O O ,1 O 0 
Total ,991063 ,114 ,11.5 ,51 ,5.1 ,51 ,5.1 ,0 0 1 20 14 11 10 ,15 34 9 
