Pitrufquen,26096,18,69.0,3,11.5,3,11.5,0,0,1,5,7,5,O,O
Pucon ,29782 ,6 ,20.1 ,2 ,6.7 ,2 ,6.7 ,0 ,0 ,1 ,3 ,O ,1 ,1 ,0 
Puren ,12188 ,2 ,16.4 ,0 ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,2 ,O ,O ,O 
Renaico ,10833 ,2 ,18.5 ,1 ,9.2 ,1 ,9.2 ,0 ,0 ,O ,O ,1 ,1 ,O ,0 
Saavedra ,12793 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,O ,0 ,O ,O 
Temuco ,302931 ,506 ,167.0 ,131 ,43.2 ,119 ,39.3 ,0 ,3 ,24 ,137 ,149 ,133 ,54 ,6 
Teodoro Schmidt ,15786 ,5 ,31.7 ,1 ,6.3 ,1 ,6.3 ,0 ,0 ,O ,2 ,2 ,O ,1 ,0 
Tolten ,10055 ,6 ,59.7 ,1 ,9.9 ,1 ,9.9 ,0 ,0 ,0 ,3 ,1 ,2 ,O ,0 
Traiguen ,19314 ,2 ,10.4 ,1 ,5.2 ,1 ,5.2 ,O ,0 ,0 ,0 ,O ,2 ,O ,0 
Victoria ,35467 ,13 ,36.7 ,1 ,2.8 ,1 ,2.8 ,0 ,0 ,O ,2 ,7 ,4 ,O ,0 
Vilcun ,30766 ,27 ,87.8 ,8 ,26.0 ,8 ,26.0 ,0 ,0 ,O ,6 ,9 ,11 ,1 ,O 
Villarrica ,59103 ,19 ,32.1 ,5 ,8.5 ,5 ,8.5 ,0 ,0 ,0 ,2 ,11 ,5 ,1 ,0 
Por determinar ,- ,3 ,- ,3 ,- ,3 ,- ,O ,O ,O ,O ,O ,0 ,O ,3 
Total ,1014343 ,826 ,81.4 ,241 ,23.8 ,223 ,22.0 ,1 ,3 ,29 ,199 ,255 ,231 ,99 ,9 
