Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Antofagasta ,615 ,913 ,891 
Calama ,517 ,913 ,935 
Maria Elena ,874 ,989 ,919 
Mejillones ,693 ,891 ,926 
Ollague ,950 ,925 ,919 
San Pedro de Atacama ,612 ,949 ,989 
Sierra Gorda ,875 ,839 ,979 
Taltal ,692 ,974 ,909 
Tocopilla ,698 ,966 ,975 
Total ,6073 ,9162 ,9067 
