Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,15505 ,797 ,49.9 
XV Arica Parinacota ,150 ,595 ,40.1 
ITarapaca ,241 ,630 ,54.7 
II Antofagasta ,587 ,84.8 ,78.1 
III Atacama ,95 ,302 ,202 
IV Coquimbo ,212 ,254 ,150 
VValparaiso ,1127 ,57.5 ,30.5 
Region Metropolitana ,11131 ,1370 ,93.3 
VI O'Higgins ,528 ,53.3 ,30.8 
VII Maule ,427 ,37.7 ,21.4 
XV De Nuble ,133 ,26.0 ,126 
VII Del Biobio ,385 ,23.1 ,13.9 
IX Araucania ,223 ,220 ,11.7 
XIV Los Rios ,37 ,9.1 ,4.8 
X Los Lagos ,146 ,164 ,9.9 
XI Aysen ,5 ,47 ,35 
XII Magallanes y la Antartica ,76 ,426 ,25.6 
Ignorada ,2 ,00 ,0.0 
