,SanRamon,196,63,259
,Santiago ,263 ,211 ,474 
,Talagante ,67 ,20 ,87 
,Tiltil ,13 ,2 ,15 
,Vitacura ,68 ,16 ,84 
,Chepica ,4 ,4 ,8 
,Chimbarongo ,5 ,2 ,7 
,Codegua ,8 ,4 ,12 
,Coinco ,3 ,3 ,6 
,Coltauco ,19 ,2 ,21 
,Donihue ,5 ,7 ,12 
,Graneros ,4 ,8 ,12 
,Las Cabras ,11 ,6 ,17 
,Litueche ,2 ,1 ,3 
,Lolol ,,2 ,2 
,Machali ,20 ,8 ,28 
,Malloa ,4 ,5 ,9 
,Marchihue ,,2 ,2 
,Mostazal ,5 ,3 ,8 
,Nancagua ,3 ,4 ,7 
O'Higgins ,Navidad ,3 ,2 ,5 
,Olivar ,4 ,3 ,7 
,Palmilla ,5 ,2 ,7 
,Paredones ,1 ,,1 
,Peralillo ,1 ,,1 
,Peumo ,6 ,5 ,11 
,Pichidegua ,4 ,5 ,9 
,Pichilemu ,3 ,5 ,8 
,Placilla ,1 ,,1 
,Pumanque ,1 ,,1 
,Quinta de Tilcoco ,5 ,2 ,7 
,Rancagua ,129 ,51 ,180 
,Rengo ,29 ,18 ,47 
,Requinoa ,11 ,5 ,16 
,San Fernando ,12 ,7 ,19 
,San Vicente ,13 ,15 ,28 
,Santa Cruz ,10 ,11 ,21 
,Cauquenes ,12 ,13 ,25 
,Chanco ,1 ,2 ,3 
,Colbun ,3 ,6 ,9 
,Constitucion ,6 ,5 ,11 
,Curepto ,6 ,3 ,9 
,Curico ,70 ,23 ,93 
,Empedrado ,,1 ,1 
,Hualane ,2 ,4 ,6 
,Licanten ,2 ,2 ,4 
,Linares ,28 ,19 ,47 
,Longavi ,1 ,7 ,8 
,Maule ,3 ,10 ,13 
,Molina ,15 ,7 ,22 
Maule ,Parral ,4 ,,4 
,Pelarco ,3 ,2 ,5 
,Pelluhue ,4 ,1 ,5 
,Pencahue ,1 ,,1 
,Rauco ,1 ,2 ,3 
,Retiro ,,3 ,3 
,Rio Claro ,3 ,2 ,5 
,Romeral ,5 ,2 ,7 
,Sagrada Familia ,1 ,4 ,5 
,San Clemente San Javier ,11 15 ,1 15 ,12 30 
,Talca ,48 ,18 ,66 
,Teno ,5 ,5 ,10 
,Vichuquen ,1 ,,1 
