Comuna,Busquedasactivas(%),Positividad(%),Testeooportuno(%),Oportunidadnotificacion(%)
Angol ,812 ,30 ,982 ,100 
Carahue ,400 ,147 ,811 ,100 
Cholchol ,00 ,- ,632 ,- 
Collipulli ,416 ,125 ,922 ,100 
Cunco ,467 ,94 ,822 ,100 
Curacautin ,644 ,69 ,861 ,100 
Curarrehue ,455 ,- ,786 ,- 
Ercilla ,368 ,211 ,983 ,100 
Freire ,430 ,- ,827 ,- 
Galvarino ,622 ,- ,685 ,- 
Gorbea ,329 ,- ,854 ,- 
Lautaro ,584 ,36 ,851 ,100 
Loncoche ,617 ,- ,787 ,- 
Lonquimay ,346 ,- ,929 ,- 
Los Sauces ,684 ,- ,100 ,- 
Lumaco ,469 ,62 ,970 ,100 
Melipeuco ,364 ,- ,478 ,- 
Nueva Imperial ,552 ,45 ,709 ,100 
Padre Las Casas ,587 ,47 ,891 ,933 
Perquenco ,208 ,139 ,894 ,100 
Pitrufquen ,608 ,- ,876 ,- 
Pucon ,402 ,- ,879 ,- 
Puren ,367 ,- ,968 ,- 
Renaico ,821 ,- ,938 ,- 
Saavedra ,67 ,- ,750 ,- 
Temuco ,608 ,19 ,902 ,750 
Teodoro Schmidt ,414 ,- ,690 ,- 
Tolten ,679 ,- ,651 ,- 
Traiguen ,329 ,55 ,924 ,250 
Victoria ,306 ,44 ,937 ,100 
Vilcun ,504 ,180 ,616 ,958 
Villarrica ,500 ,15 ,866 ,500 
Total ,562 ,43 ,877 ,938 
