Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antartica ,137 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cabo de Hornos ,1983 ,23 ,1159.9 ,1 ,50.4 ,1 ,50.4 
Laguna Blanca ,264 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Natales & ,23782 ,62 ,260.7 ,6 ,25.2 ,6 ,25.2 
Porvenir ,7323 ,29 ,396.0 ,16 ,218.5 ,16 ,218.5 
Primavera ,694 ,3 ,432.3 ,0 ,0.0 ,0 ,0.0 
Punta Arenas & ,141984 ,2443 ,1720.6 ,477 ,336.0 ,476 ,335.2 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,O ,0.0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,0 ,0.0 
Timaukel ,282 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Torres del Paine ,1021 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Desconocido & ,- ,23 ,- ,14 ,- ,14 ,- 
Total ,178362 ,2585 ,1449.3 ,514 ,288.2 ,513 ,287.6 
