Perquenco,7223,5,69.2,0,0.0,0,0.0,O00,11,O,03,O,00,O,OO0
Pitrufquen ,26096 ,47 ,180.1 ,23 ,88.1 ,23 ,88.1 ,O 0 0 ,4 9 ,4 ,0 1 ,O ,0 0 ,6 ,14 9 O 
Pucon ,29782 ,36 ,120.9 ,16 ,53.7 ,16 ,53.7 ,O 0 1 ,3 O ,4 ,3 1 ,3 ,O 2 ,2 ,9 8 O 
Puren ,12188 ,9 ,73.8 ,2 ,16.4 ,2 ,16.4 ,O O O ,O 2 ,O ,O 2 ,O ,2 1 ,O ,1 1 O 
Renaico ,10833 ,25 ,230.8 ,6 ,55.4 ,6 ,55.4 ,0 O 0 ,O O ,1 ,3 2 ,1 ,4 3 ,5 ,4 2 0 
Saavedra ,12793 ,87 ,680.1 ,10 ,78.2 ,10 ,78.2 ,O 0 1 ,1 O ,1 ,5 8 ,17 ,13 18 ,10 ,9 4 O 
Temuco' & ,302931 ,830 ,274.0 ,32 ,10.6 ,32 ,10.6 ,O 4 26 ,155 173 ,128 ,110 57 ,25 ,27 49 ,44 ,25 7 O 
Teodoro Schmidt ,15786 ,10 ,63.3 ,4 ,25.3 ,4 ,25.3 ,O O O ,1 2 ,O ,1 1 ,O ,O O ,1 ,3 1 O 
Tolten ,10055 ,16 ,159.1 ,5 ,49.7 ,5 ,49.7 ,O 0 O ,4 2 ,2 ,0 0 ,O ,O 0 ,2 ,5 1 O 
Traiguen ,19314 ,9 ,46.6 ,1 ,5.2 ,1 ,5.2 ,O 0 0 ,0 O ,1 ,0 1 ,O ,O 1 ,4 ,2 O O 
Victoria ,35467 ,93 ,262.2 ,12 ,33.8 ,12 ,33.8 ,O O 1 ,2 9 ,2 ,2 30 ,20 ,11 2 ,1 ,10 3 O 
Vilcun ,30766 ,91 ,295.8 ,23 ,74.8 ,23 ,74.8 ,O O O ,6 11 ,15 ,8 3 ,5 ,4 5 ,7 ,21 6 O 
Villarrica ,59103 ,31 ,52.5 ,9 ,15.2 ,9 ,15.2 ,O O O ,2 10 ,6 ,1 O ,1 ,O 1 ,1 ,4 5 O 
Total ,1014343 ,2102 ,207.2 ,330 ,32.5 ,330 ,32.5 ,1 5 32 ,216 292 ,241 ,196 198 ,133 ,101 145 ,176 ,254 112 0 
