,Llaillay,7,2,9
,Los Andes ,41 ,13 ,54 
,Nogales ,5 ,10 ,15 
,Olmue ,5 ,3 ,8 
,Panquehue ,2 ,,2 
,Papudo ,3 ,1 ,4 
,Petorca ,2 ,,2 
,Puchuncavi ,5 ,4 ,9 
,Putaendo ,4 ,7 ,11 
,Quillota ,40 ,25 ,65 
,Quilpue ,50 ,35 ,85 
,Quintero ,13 ,7 ,20 
,Rinconada ,5 ,2 ,7 
,San Antonio ,39 ,30 ,69 
,San Esteban ,7 ,7 ,14 
,San Felipe ,32 ,7 ,39 
,Santa Maria ,4 ,2 ,6 
,Santo Domingo ,,2 ,2 
,Valparaiso ,88 ,64 ,152 
,Villa Alemana ,25 ,28 ,53 
,Vina del Mar ,135 ,65 ,200 
,Zapallar ,2 ,1 ,3 
,Alhue ,4 ,1 ,5 
,Buin ,92 ,20 ,112 
,Calera de Tango ,10 ,3 ,13 
,Cerrillos ,68 ,25 ,93 
,Cerro Navia ,275 ,83 ,358 
,Colina ,109 ,33 ,142 
,Conchali ,214 ,83 ,297 
,Curacavi ,17 ,3 ,20 
,EI Bosque ,202 ,70 ,272 
,EI Monte ,37 ,14 ,51 
,Estacion Central ,137 ,92 ,229 
,Huechuraba ,140 ,32 ,172 
,Independencia ,258 ,75 ,333 
,Isla de Maipo ,18 ,8 ,26 
,La Cisterna ,131 ,30 ,161 
,La Florida ,441 ,120 ,561 
,La Granja ,183 ,70 ,253 
,La Pintana ,281 ,111 ,392 
Metropolitana ,La Reina ,87 ,20 ,107 
,Lampa ,63 ,24 ,87 
,Las Condes ,308 ,65 ,373 
,Lo Barnechea ,80 ,12 ,92 
,Lo Espejo ,180 ,36 ,216 
,Lo Prado ,141 ,33 ,174 
,Macu Maipu ,139 455 ,28 214 ,167 669 
,Maria Pinto ,8 ,2 ,10 
,Melipilla ,110 ,28 ,138 
,Nunoa ,246 ,82 ,328 
,Padre Hurtado ,54 ,16 ,70 
,Paine ,45 ,13 ,58 
,Pedro Aguirre Cerda ,207 ,46 ,253 
,Penaflor ,114 ,22 ,136 
,Penalolen ,321 ,70 ,391 
,Pirque ,23 ,14 ,37 
,Providencia ,157 ,46 ,203 
