Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,,7405 ,137 ,1850.1 ,3 ,40.5 ,41 ,553.7 ,40 ,540.2 
Buin ,& ,109641 ,2065 ,1883.4 ,65 ,59.3 ,198 ,180.6 ,197 ,179.7 
Calera de Tango ,& ,28525 ,503 ,1763.4 ,6 ,21.0 ,42 ,147.2 ,42 ,147.2 
Cerrillos ,& ,88956 ,2772 ,3116.1 ,62 ,69.7 ,203 ,228.2 ,203 ,228.2 
Cerro Navia ,& ,142465 ,5861 ,4114.0 ,214 ,150.2 ,275 ,193.0 ,274 ,192.3 
Colina ,& ,180353 ,4287 ,2377.0 ,92 ,51.0 ,227 ,125.9 ,226 ,125.3 
Conchali ,& ,139195 ,5704 ,4097.8 ,186 ,133.6 ,319 ,229.2 ,318 ,228.5 
Curacavi ,,36430 ,807 ,2215.2 ,14 ,38.4 ,74 ,203.1 ,74 ,203.1 
EI Bosque ,& ,172000 ,5840 ,3395.3 ,178 ,103.5 ,439 ,255.2 ,436 ,253.5 
EI Monte ,& ,40014 ,1040 ,2599.1 ,35 ,87.5 ,122 ,304.9 ,120 ,299.9 
Estacion Central ,& ,206792 ,5761 ,2785.9 ,122 ,59.0 ,298 ,144.1 ,298 ,144.1 
Huechuraba ,& ,112528 ,3474 ,3087.2 ,124 ,110.2 ,180 ,160.0 ,177 ,157.3 
Independencia ,& ,142065 ,6044 ,4254.4 ,206 ,145.0 ,266 ,187.2 ,262 ,184.4 
Isla de Maipo ,& ,40171 ,682 ,1697.7 ,17 ,42.3 ,91 ,226.5 ,89 ,221.6 
La Cisterna ,& ,100434 ,2932 ,2919.3 ,99 ,98.6 ,154 ,153.3 ,154 ,153.3 
La Florida ,& ,402433 ,12589 ,3128.2 ,387 ,96.2 ,640 ,159.0 ,638 ,158.5 
La Granja ,& ,122557 ,6558 ,5351.0 ,173 ,141.2 ,374 ,305.2 ,373 ,304.3 
La Pintana ,& ,189335 ,8921 ,4711.8 ,271 ,143.1 ,405 ,213.9 ,403 ,212.9 
La Reina ,& ,100252 ,2047 ,2041.9 ,72 ,71.8 ,157 ,156.6 ,154 ,153.6 
Lampa ,& ,126898 ,3183 ,2508.3 ,50 ,39.4 ,240 ,189.1 ,239 ,188.3 
Las Condes ,& ,330759 ,5354 ,1618.7 ,250 ,75.6 ,268 ,81.0 ,266 ,80.4 
Lo Barnechea ,& ,124076 ,2893 ,2331.6 ,61 ,49.2 ,89 ,71.7 ,89 ,71.7 
Lo Espejo ,& ,103865 ,3834 ,3691.3 ,159 ,153.1 ,212 ,204.1 ,210 ,202.2 
Lo Prado ,& ,104403 ,4325 ,4142.6 ,124 ,118.8 ,254 ,243.3 ,254 ,243.3 
