Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Aisen ,399 ,1000 ,968 
Chile Chico ,111 ,1000 ,1000 
Cisnes ,143 ,1000 ,1000 
Cochrane ,00 ,1000 ,1000 
Coyhaique ,397 ,975 ,987 
Guaitecas ,737 ,1000 ,1000 
Lago Verde ,- ,- ,- 
O'Higgins ,- ,- ,- 
Rio Ibanez ,00 ,1000 ,1000 
Tortel ,00 ,1000 ,1000 
Total ,388 ,987 ,982 
