SagradaFamilia,19469,113,580.4,1,5.1,15,77.0,15,77.0
San Clemente ,46292 ,584 ,1261.6 ,11 ,23.8 ,55 ,118.8 ,55 ,118.8 
San Javier ,49451 ,522 ,1055.6 ,13 ,26.3 ,32 ,64.7 ,32 ,64.7 
San Rafael ,9959 ,142 ,1425.8 ,O ,0.0 ,13 ,130.5 ,13 ,130.5 
Talca ,236724 ,2185 ,923.0 ,36 ,15.2 ,225 ,95.0 ,225 ,95.0 
Teno ,& 30850 ,311 ,1008.1 ,5 ,16.2 ,36 ,116.7 ,36 ,116.7 
Vichuquen ,4381 ,6 ,137.0 ,1 ,22.8 ,O ,0.0 ,O ,0.0 
Villa Alegre ,& 17512 ,152 ,868.0 ,3 ,17.1 ,8 ,45.7 ,7 ,40.0 
Yerbas Buenas ,& 19200 ,155 ,807.3 ,6 ,31.3 ,25 ,130.2 ,25 ,130.2 
Desconocido ,& - ,42 ,- ,0 ,- ,2 ,- ,2 ,- 
Total ,1131939 ,11047 ,975.9 ,213 ,18.8 ,933 ,82.4 ,929 ,82.1 
