Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,,15174 ,103 ,678.8 ,6 ,39.5 ,3 ,19.8 ,3 ,19.8 
Cabildo ,& ,20663 ,252 ,1219.6 ,17 ,82.3 ,32 ,154.9 ,32 ,154.9 
Calera ,& ,53591 ,495 ,923.7 ,12 ,22.4 ,109 ,203.4 ,109 ,203.4 
Calle Larga ,& ,16482 ,228 ,1383.3 ,O ,0.0 ,31 ,188.1 ,31 ,188.1 
Cartagena ,& ,25357 ,151 ,595.5 ,3 ,11.8 ,15 ,59.2 ,15 ,59.2 
Casablanca ,& ,29170 ,155 ,531.4 ,O ,0.0 ,16 ,54.9 ,16 ,54.9 
Catemu ,& ,15213 ,92 ,604.7 ,2 ,13.1 ,10 ,65.7 ,10 ,65.7 
Con Con ,& ,45889 ,431 ,939.2 ,6 ,13.1 ,92 ,200.5 ,92 ,200.5 
EI Quisco ,,17742 ,140 ,789.1 ,3 ,16.9 ,21 ,118.4 ,21 ,118.4 
EI Tabo ,,14338 ,189 ,1318.2 ,6 ,41.8 ,24 ,167.4 ,24 ,167.4 
Hijuelas ,& ,19099 ,132 ,691.1 ,3 ,15.7 ,27 ,141.4 ,27 ,141.4 
Isla de Pascua ,,8277 ,5 ,60.4 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Juan Fernandez ,,1033 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
La Cruz ,& ,25321 ,131 ,517.4 ,2 ,7.9 ,19 ,75.0 ,19 ,75.0 
La Ligua ,& ,37739 ,277 ,734.0 ,10 ,26.5 ,50 ,132.5 ,50 ,132.5 
Limache ,& ,49931 ,641 ,1283.8 ,13 ,26.0 ,110 ,220.3 ,109 ,218.3 
Llaillay ,& ,26533 ,266 ,1002.5 ,5 ,18.8 ,51 ,192.2 ,51 ,192.2 
LOs Andes ,& ,68093 ,853 ,1252.7 ,27 ,39.7 ,105 ,154.2 ,104 ,152.7 
Nogales ,& ,23490 ,108 ,459.8 ,1 ,4.3 ,21 ,89.4 ,20 ,85.1 
Olmue ,& ,19266 ,114 ,591.7 ,2 ,10.4 ,26 ,135.0 ,26 ,135.0 
Panquehue ,,7633 ,74 ,969.5 ,0 ,0.0 ,14 ,183.4 ,14 ,183.4 
