Penco,49865,37,74.2,14,28.1,14,28.1,0O01,3,33,8,O21,27,70
Quilaco ,4179 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 O ,O ,O O ,0 ,0 0 0 ,O O ,0 O 
Quilleco ,10032 ,2 ,19.9 ,2 ,19.9 ,2 ,19.9 ,O O O O ,O ,O O ,O ,O O O ,O 1 ,1 O 
San Pedro de la Paz & ,145906 ,197 ,135.0 ,65 ,44.5 ,65 ,44.5 ,0 O 6 34 ,17 ,24 8 ,11 ,3 2 13 ,11 36 ,32 O 
San Rosendo ,3611 ,2 ,55.4 ,O ,0.0 ,0 ,0.0 ,0 O 0 O ,O ,0 O ,O ,O O 1 ,1 O ,O 0 
Santa Barbara ,14592 ,34 ,233.0 ,19 ,130.2 ,19 ,130.2 ,O O 0 O ,2 ,O O ,0 ,O O 4 ,9 7 ,12 O 
Santa Juana ,14779 ,3 ,20.3 ,1 ,6.8 ,1 ,6.8 ,O O O O ,O ,1 0 ,O ,1 0 O ,O O ,1 O 
Talcahuano ,158345 ,206 ,130.1 ,48 ,30.3 ,48 ,30.3 ,O O 1 16 ,16 ,17 14 ,14 ,20 17 19 ,18 37 ,17 O 
Tirua ,11019 ,4 ,36.3 ,O ,0.0 ,0 ,0.0 ,O 0 O 1 ,2 ,1 O ,O ,O O 0 ,O O ,O O 
Tome & ,58729 ,85 ,144.7 ,9 ,15.3 ,9 ,15.3 ,O O 0 9 ,11 ,12 7 ,9 ,1 4 17 ,4 8 ,3 O 
Tucapel ,15205 ,12 ,78.9 ,7 ,46.0 ,7 ,46.0 ,O O O O ,O ,1 O ,O ,O O O ,4 5 ,2 O 
Yumbel ,22132 ,27 ,122.0 ,11 ,49.7 ,11 ,49.7 ,O O O O ,5 ,O 1 ,1 ,1 2 4 ,2 4 ,7 O 
Total ,1663696 ,2074 ,124.7 ,751 ,45.1 ,749 ,45.0 ,1 2 29 140 ,157 ,149 99 ,100 ,65 81 208 ,237 444 ,362 0 
