Talca&,O,39,131911,15,73,181322,53,74,83,169,208,269,250,231,151,120,95,21
Teno & ,O ,O O ,1 O O ,1 ,1 ,1 3 3 ,3 ,4 ,7 ,11 ,32 ,30 ,30 ,36 ,25 ,29 ,34 ,2 
Vichuquen ,0 ,O O ,0 0 0 ,O ,0 ,O O O ,O ,0 ,O ,O ,O ,O ,0 ,1 ,1 ,4 ,O ,O 
Villa Alegre ,O ,O O ,0 0 0 ,1 ,1 ,O O 1 ,2 ,O ,9 ,18 ,9 ,11 ,15 ,23 ,12 ,29 ,10 ,O 
Yerbas Buenas ,O ,0 O ,0 O O ,1 ,O ,2 O 4 ,9 ,12 ,23 ,13 ,15 ,10 ,7 ,2 ,9 ,12 ,5 ,5 
Desconocido & ,O ,O O ,1 O O ,O ,0 ,1 O O ,1 ,O ,2 ,3 ,7 ,10 ,5 ,O ,2 ,3 ,5 ,6 
Total ,1 ,5 11 ,29 51 47 ,65 ,167 ,52 52 121 ,252 ,489 ,731 ,967 ,1078 ,1205 ,1069 ,966 ,849 ,762 ,685 ,116 
