ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos,NumerodeCasosRecuperados
Region de Arica y Parinacota ,252110 ,1179 ,467.7 ,356 ,141.2 ,812 
Region de Tarapaca ,382773 ,4223 ,1103.3 ,943 ,246.4 ,3231 
Region de Antofagasta ,691854 ,4483 ,648.0 ,846 ,122.3 ,3566 
Region de Atacama ,314709 ,489 ,155.4 ,186 ,59.1 ,302 
Region de Coquimbo ,836096 ,1705 ,203.9 ,432 ,51.7 ,1258 
Region de Valparaiso ,1960170 ,7107 ,362.6 ,1773 ,90.5 ,5186 
Region Metropolitana de Santiago ,8125072 ,144151 ,1774.2 ,19154 ,235.7 ,122604 
Region del Libertador General Bernardo OHiggins ,991063 ,2044 ,206.2 ,409 ,41.3 ,1599 
Region de Maule ,1131939 ,3133 ,276.8 ,1047 ,92.5 ,2057 
Region de Nuble ,511551 ,1850 ,361.6 ,400 ,78.2 ,1423 
Region de Biobio ,1663696 ,3433 ,206.3 ,923 ,55.5 ,2488 
Region de la Araucania ,1014343 ,2722 ,268.4 ,385 ,38.0 ,2285 
Region de Los Rios ,405835 ,539 ,132.8 ,129 ,31.8 ,402 
Region de Los Lagos ,891440 ,1132 ,127.0 ,183 ,20.5 ,935 
Region de Aysen de General Carlos lbanez del Campo ,107297 ,22 ,20.5 ,6 ,5.6 ,16 
Region de Magallanes y la Antartica Chilena ,178362 ,1185 ,664.4 ,110 ,61.7 ,1056 
Desconocido ,- ,39 ,- ,0 ,- ,39 
Total pais ,19458310 ,179436 ,922.2 ,27282 ,140.2 ,149259 
