Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,,11791 ,49 ,415.6 ,1 ,8.5 ,5 ,42.4 ,5 ,42.4 
Canela ,,9546 ,20 ,209.5 ,1 ,10.5 ,0 ,0.0 ,0 ,0.0 
Combarbala ,,13884 ,32 ,230.5 ,O ,0.0 ,2 ,14.4 ,2 ,14.4 
Coquimbo ,& ,256735 ,1779 ,692.9 ,11 ,4.3 ,357 ,139.1 ,357 ,139.1 
Illapel ,& ,32801 ,239 ,728.6 ,1 ,3.0 ,57 ,173.8 ,57 ,173.8 
La Higuera ,,4450 ,20 ,449.4 ,0 ,0.0 ,10 ,224.7 ,10 ,224.7 
La Serena ,& ,249656 ,1575 ,630.9 ,14 ,5.6 ,377 ,151.0 ,377 ,151.0 
LOs Vilos ,,23374 ,79 ,338.0 ,2 ,8.6 ,7 ,29.9 ,6 ,25.7 
Monte Patria ,,32527 ,248 ,762.4 ,3 ,9.2 ,24 ,73.8 ,24 ,73.8 
Ovalle ,& ,121269 ,1093 ,901.3 ,19 ,15.7 ,86 ,70.9 ,85 ,70.1 
Paiguano ,,4675 ,9 ,192.5 ,0 ,0.0 ,2 ,42.8 ,2 ,42.8 
Punitaqui ,,12165 ,76 ,624.7 ,4 ,32.9 ,19 ,156.2 ,18 ,148.0 
Rio Hurtado ,,4372 ,23 ,526.1 ,0 ,0.0 ,1 ,22.9 ,1 ,22.9 
Salamanca ,& ,29110 ,81 ,278.3 ,0 ,0.0 ,14 ,48.1 ,14 ,48.1 
Vicuna ,& ,29741 ,98 ,329.5 ,0 ,0.0 ,44 ,147.9 ,44 ,147.9 
Desconocido ,& ,- ,139 ,- ,0 ,- ,33 ,- ,33 ,- 
Total ,,836096 ,5560 ,665.0 ,56 ,6.7 ,1038 ,124.1 ,1035 ,123.8 
