Comuna,NO,Poblacion,Tasa
Arica ,6 ,247552 ,2.4 
Camarones ,- ,1233 ,0.0 
General Lagos ,- ,810 ,0.0 
Putre ,- ,2515 ,0.0 
Total ,6 ,252110 ,2.4 
