ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos,NumerodeCasosRecuperados
Region de Arica y Parinacota ,252110 ,1048 ,415.7 ,330 ,130.9 ,707 
Region de Tarapaca ,382773 ,3799 ,992.5 ,831 ,217.1 ,2927 
Region de Antofagasta ,691854 ,3821 ,552.3 ,597 ,86.3 ,3157 
Region de Atacama ,314709 ,420 ,133.5 ,162 ,51.5 ,257 
Region de Coquimbo ,836096 ,1460 ,174.6 ,390 ,46.6 ,1056 
Region de Valparaiso ,1960170 ,6252 ,319.0 ,1576 ,80.4 ,4542 
Region Metropolitana de Santiago ,8125072 ,129580 ,1594.8 ,19728 ,242.8 ,107693 
Region del Libertador General Bernardo OHiggins ,991063 ,1658 ,167.3 ,294 ,29.7 ,1334 
Region de Maule ,1131939 ,2726 ,240.8 ,917 ,81.0 ,1782 
Region del Nuble ,511551 ,1735 ,339.2 ,348 ,68.0 ,1360 
Region del Biobio ,1663696 ,3077 ,184.9 ,818 ,49.2 ,2239 
Region de la Araucania ,1014343 ,2572 ,253.6 ,341 ,33.6 ,2179 
Region de Los Rios ,405835 ,487 ,120.0 ,93 ,22.9 ,386 
Region de Los Lagos ,891440 ,1048 ,117.6 ,146 ,16.4 ,889 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,18 ,16.8 ,2 ,1.9 ,16 
Region de Magallanes y la Antartica Chilena ,178362 ,1106 ,620.1 ,43 ,24.1 ,1044 
Desconocido ,- ,39 ,- ,2 ,- ,37 
Total pais ,19458310 ,160846 ,826.6 ,26618 ,136.8 ,131605 
