Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Cauquenes ,759 ,17 ,454 ,833 
Chanco ,837 ,23 ,448 ,100 
Colbun ,797 ,49 ,997 ,100 
Constitucion ,656 ,35 ,743 ,100 
Curepto ,730 ,127 ,931 ,100 
Curico ,700 ,48 ,752 ,100 
Empedrado ,645 ,- ,738 ,- 
Hualane ,750 ,25 ,625 ,100 
Licanten ,674 ,- ,568 ,- 
Linares ,687 ,62 ,888 ,100 
Longavi ,748 ,54 ,990 ,100 
Maule ,735 ,72 ,861 ,100 
Molina ,634 ,102 ,696 ,100 
Parral ,470 ,48 ,950 ,917 
Pelarco ,814 ,12 ,748 ,100 
Pelluhue ,887 ,42 ,582 ,100 
Pencahue ,359 ,- ,750 ,- 
Rauco ,750 ,50 ,882 ,333 
Retiro ,574 ,118 ,971 ,875 
Rio Claro ,853 ,16 ,928 ,100 
Romeral ,650 ,66 ,606 ,100 
Sagrada Familia ,430 ,105 ,711 ,100 
San Clemente ,711 ,61 ,797 ,100 
San Javier ,566 ,36 ,889 ,923 
San Rafael ,622 ,92 ,817 ,100 
Talca ,495 ,62 ,875 ,959 
Teno ,525 ,88 ,485 ,100 
Vichuquen ,750 ,- ,421 ,- 
Villa Alegre ,625 ,42 ,937 ,600 
Yerbas Buenas ,612 ,52 ,964 ,100 
