Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antartica ,137 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cabo de Hornos ,1983 ,22 ,1109.4 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Laguna Blanca ,264 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Natales ,23782 ,52 ,218.7 ,O ,0.0 ,1 ,4.2 ,1 ,4.2 
Porvenir ,7323 ,10 ,136.6 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Primavera ,694 ,1 ,144.1 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Punta Arenas ,141984 ,1506 ,1060.7 ,28 ,19.7 ,72 ,50.7 ,72 ,50.7 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Timaukel ,282 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Torres del Paine ,1021 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Desconocido ,- ,70 ,- ,O ,- ,O ,- ,0 ,- 
Total ,178362 ,1663 ,932.4 ,28 ,15.7 ,73 ,40.9 ,73 ,40.9 
