Enero,Febrero,Marzo,Abril,Mayo,Junio,,Julio,Agosto,Septiem,Octubre,Noviemb,Diciembre
,,,,,,82.3 ,,,,,,
,,,,61.5 ,,,64.4 57.4 ,,,,,
46.4 ,,,,49.5 ,55.0 ,,,53.9 ,50.5 ,480 ,,
45.6 ,,43.3 44.7 ,44.7 45.7 ,,,,,44.3 ,,,44.7 ,44.3 
,40.7 407 ,,,,,,,,,,,
,,,,,,,,,,,,
