PuertoVaras,48620,30,61.7,13,26.7,13,26.7,001O,2,32,0O,OO4,78
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,0 O ,0 O ,O O O ,O 0 
Purranque ,21080 ,66 ,313.1 ,27 ,128.1 ,27 ,128.1 ,O O O O ,3 ,12 5 ,1 2 ,3 1 5 ,13 20 
Puyehue ,11787 ,11 ,93.3 ,1 ,8.5 ,1 ,8.5 ,O 0 O 1 ,1 ,1 1 ,1 1 ,2 O 1 ,1 1 
Queilen ,5543 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O O ,O ,0 0 ,O O ,0 O 0 ,0 O 
Quellon ,29309 ,1 ,3.4 ,0 ,0.0 ,O ,0.0 ,O 0 0 O ,O ,0 O ,0 0 ,1 O 0 ,O 0 
Quemchi ,8783 ,14 ,159.4 ,8 ,91.1 ,8 ,91.1 ,O O O 0 ,O ,O O ,O O ,O O 2 ,5 7 
Quinchao ,8298 ,1 ,12.1 ,O ,0.0 ,O ,0.0 ,O O O O ,1 ,0 O ,O O ,O O 0 ,O O 
Rio Negro& ,14275 ,31 ,217.2 ,5 ,35.0 ,5 ,35.0 ,O O O O ,2 ,3 O ,4 6 ,1 4 5 ,4 2 
San Juan de la Costa ,7639 ,34 ,445.1 ,O ,0.0 ,O ,0.0 ,O O O O ,1 ,9 2 ,6 7 ,2 5 2 ,O O 
San Pablo ,10553 ,12 ,113.7 ,1 ,9.5 ,1 ,9.5 ,O O O O ,2 ,4 O ,3 O ,O O 2 ,1 O 
Total ,891440 ,938 ,105.2 ,182 ,20.4 ,182 ,20.4 ,0 1 5 79 ,142 ,117 60 ,43 33 ,50 61 79 ,126 113 
