Comuna,SESESE,SESE,SESE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE
,9 10 11 ,12 13 ,14 15 ,16 ,17 ,18 19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 
Antofagasta ,& O 1 2 ,28 31 ,41 59 ,110 ,161 ,215 313 ,313 ,304 ,354 ,501 ,602 ,706 ,782 ,892 ,639 
Calama ,& 1 O 2 ,3 3 ,9 18 ,17 ,40 ,54 93 ,235 ,285 ,447 ,818 ,996 ,915 ,730 ,622 ,363 
Maria Elena ,1 O O ,O O ,O 5 ,9 ,16 ,45 42 ,30 ,13 ,12 ,11 ,7 ,41 ,29 ,27 ,5 
Mejillones ,O O O ,O 1 ,8 15 ,18 ,30 ,76 45 ,51 ,19 ,19 ,10 ,17 ,38 ,49 ,25 ,14 
Ollague ,O O O ,0 0 ,O 0 ,O ,O ,O O ,O ,O ,O ,O ,2 ,5 ,1 ,2 ,5 
San Pedro de Atacama ,O O O ,2 1 ,1 O ,O ,1 ,O O ,2 ,4 ,4 ,18 ,21 ,33 ,35 ,36 ,25 
Sierra Gorda ,O O O ,O O ,O O ,O ,O ,3 5 ,5 ,3 ,12 ,6 ,8 ,3 ,4 ,2 ,5 
Taltal ,& O O O ,O 0 ,2 3 ,2 ,1 ,1 3 ,12 ,6 ,9 ,7 ,9 ,12 ,7 ,11 ,22 
Tocopilla ,O O O ,2 O ,4 5 ,O ,1 ,2 7 ,8 ,8 ,4 ,6 ,25 ,50 ,61 ,43 ,20 
Desconocido ,& O O O ,O 0 ,O O ,O ,5 ,O 1 ,1 ,O ,O ,5 ,10 ,41 ,30 ,32 ,32 
Total ,2 1 4 ,35 36 ,65 105 ,156 ,255 ,396 509 ,657 ,642 ,861 ,1382 ,1697 ,1844 ,1728 ,1692 ,1130 
