Purranque,21080,30,142.3,6,28.5,6,28.5
Puyehue ,11787 ,6 ,50.9 ,2 ,17.0 ,2 ,17.0 
Queilen ,5543 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quellon ,29309 ,1 ,3.4 ,1 ,3.4 ,1 ,3.4 
Quemchi ,8783 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quinchao ,8298 ,1 ,12.1 ,O ,0.0 ,O ,0.0 
Rio Negro ,14275 ,25 ,175.1 ,9 ,63.0 ,9 ,63.0 
San Juan de la Costa ,7639 ,34 ,445.1 ,7 ,91.6 ,7 ,91.6 
San Pablo ,10553 ,9 ,85.3 ,O ,0.0 ,O ,0.0 
Total ,891440 ,618 ,69.3 ,105 ,11.8 ,105 ,11.8 
