Penco,49865,1016,2037.5,149,298.8,148,296.8
Quilaco ,4179 ,28 ,670.0 ,O ,0.0 ,O ,0.0 
Quilleco ,10032 ,89 ,887.2 ,8 ,79.7 ,8 ,79.7 
San Pedro de la Paz & ,145906 ,1585 ,1086.3 ,260 ,178.2 ,259 ,177.5 
San Rosendo & ,3611 ,38 ,1052.3 ,2 ,55.4 ,2 ,55.4 
Santa Barbara ,14592 ,197 ,1350.1 ,11 ,75.4 ,11 ,75.4 
Santa Juana & ,14779 ,140 ,947.3 ,30 ,203.0 ,30 ,203.0 
Talcahuano & ,158345 ,2430 ,1534.6 ,387 ,244.4 ,387 ,244.4 
Tirua ,11019 ,44 ,399.3 ,2 ,18.2 ,2 ,18.2 
Tome & ,58729 ,962 ,1638.0 ,168 ,286.1 ,166 ,282.7 
Tucape & ,15205 ,176 ,1157.5 ,4 ,26.3 ,4 ,26.3 
Yumbel ,22132 ,250 ,1129.6 ,2 ,9.0 ,2 ,9.0 
Desconocido & ,- ,193 ,- ,30 ,- ,30 ,- 
Total ,1663696 ,20767 ,1248.2 ,2930 ,176.1 ,2924 ,175.8 
