Peralillo,11848,O,0.0,O,0.0,O,0.0,O,OO,OOO,,OOO
Peumo ,14952 ,1 ,6.7 ,O ,0.0 ,O ,0.0 ,O ,O O ,O 1 O ,,O O O 
Pichidegua ,20743 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0 O ,O O O ,,O O O 
Pichilemu ,17882 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0 O ,O O O ,,O O O 
Placilla ,9164 ,1 ,10.9 ,O ,0.0 ,O ,0.0 ,O ,O O ,O 1 O ,,O O O 
Pumanque ,3531 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O O ,O O O ,,O O O 
Quinta de Tilcoco ,13877 ,1 ,7.2 ,O ,0.0 ,O ,0.0 ,O ,O O ,1 O O ,,O O O 
Rancagua ,265211 ,32 ,12.1 ,11 ,4.1 ,11 ,4.1 ,O ,O O ,7 4 7 ,,3 5 6 
Rengo ,63710 ,7 ,11.0 ,5 ,7.8 ,5 ,7.8 ,0 ,0 O ,1 1 O ,,0 1 4 
Requinoa ,30371 ,4 ,13.2 ,2 ,6.6 ,2 ,6.6 ,O ,O O ,2 O O ,,O 0 2 
San Fernando ,78642 ,5 ,6.4 ,2 ,2.5 ,2 ,2.5 ,O ,O O ,2 O 1 ,,O 1 1 
San Vicente ,50617 ,4 ,7.9 ,O ,0.0 ,O ,0.0 ,O ,O O ,O 3 1 ,,O O O 
Santa Cruz ,41096 ,2 ,4.9 ,1 ,2.4 ,1 ,2.4 ,O ,0 O ,O 1 O ,,O 1 O 
,,,,,,,,,,,,
