SEREMIDeMagallanesylaAntarticaChilena,0,0,0,0,0,O,0,0,0,0,O,0,0,0,0,0
Total pais ,33 ,0 ,0 ,11 ,10 ,2 ,1 ,0 ,1 ,1 ,2 ,2 ,1 ,2 ,0 ,0 
