Perquenco,7223,5,69.2,0,0.0,,0,0.0,O00,110,03,OOO,O,00
Pitrufquen& ,26096 ,41 ,157.1 ,20 ,76.6 ,,20 ,76.6 ,O 0 0 ,4 9 4 ,0 1 ,O O 0 ,6 ,12 5 
Pucon ,29782 ,27 ,90.7 ,10 ,33.6 ,,10 ,33.6 ,O O 1 ,3 O 4 ,3 1 ,3 O 2 ,2 ,8 O 
Puren ,12188 ,8 ,65.6 ,1 ,8.2 ,,1 ,8.2 ,O O O ,O 2 O ,O 2 ,O 2 1 ,O ,O 1 
Renaico ,10833 ,22 ,203.1 ,4 ,36.9 ,,4 ,36.9 ,0 0 O ,0 O 1 ,3 2 ,1 4 3 ,5 ,3 0 
Saavedra ,12793 ,84 ,656.6 ,13 ,101.6 ,,13 ,101.6 ,O O 1 ,1 0 1 ,5 8 ,17 13 18 ,10 ,9 1 
Temuco8 ,302931 ,824 ,272.0 ,36 ,11.9 ,,36 ,11.9 ,O 4 26 ,155 174 128 ,110 57 ,25 27 49 ,44 ,20 5 
Teodoro Schmidt ,15786 ,8 ,50.7 ,3 ,19.0 ,,3 ,19.0 ,O O O ,1 2 O ,1 1 ,O 0 O ,1 ,1 1 
Tolten ,10055 ,15 ,149.2 ,6 ,59.7 ,,6 ,59.7 ,O 0 O ,4 2 2 ,O 0 ,O 0 O ,2 ,5 O 
Traiguen ,19314 ,9 ,46.6 ,2 ,10.4 ,,2 ,10.4 ,O O O ,0 O 1 ,0 1 ,O O 1 ,4 ,2 O 
Victoria& ,35467 ,90 ,253.8 ,10 ,28.2 ,,10 ,28.2 ,O 0 1 ,2 9 2 ,2 30 ,20 11 2 ,1 ,8 2 
Vilcun ,30766 ,83 ,269.8 ,19 ,61.8 ,,19 ,61.8 ,O O O ,6 11 15 ,8 3 ,5 4 5 ,7 ,16 3 
Villarrica ,59103 ,25 ,42.3 ,3 ,5.1 ,,3 ,5.1 ,O 0 O ,2 10 6 ,1 O ,1 O 1 ,1 ,3 O 
Total ,1014343 ,1981 ,,304 ,,,304 ,,1 5 32 ,216 292 241 ,196 198 ,133 101 145 ,169 ,206 46 
