Comuna,Poblacion,Confirmados,Tasadeincidencia
Alto Hospicio ,129999 ,- ,"2,3 "
Camina ,1375 ,- ,"0,0 "
Colchane ,1583 ,- ,"0,0 "
Huara ,3000 ,- ,"0,0 "
Iquique ,223463 ,10 ,"4,5 "
Pica ,5958 ,- ,"0,0 "
Pozo Almonte ,17395 ,- ,"0,0 "
Total ,382773 ,13 ,"3,4 "
