Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,6775 ,175 ,2583.0 ,0 ,0.0 ,3 ,44.3 ,3 ,44.3 
Antuco ,4306 ,63 ,1463.1 ,1 ,23.2 ,1 ,23.2 ,1 ,23.2 
Arauco ,38679 ,444 ,1147.9 ,3 ,7.8 ,67 ,173.2 ,67 ,173.2 
Cabrero ,30725 ,164 ,533.8 ,2 ,6.5 ,17 ,55.3 ,17 ,55.3 
Canete ,37003 ,142 ,383.8 ,0 ,0.0 ,23 ,62.2 ,23 ,62.2 
Chiguayante ,91180 ,706 ,774.3 ,11 ,12.1 ,104 ,114.1 ,104 ,114.1 
Concepcion ,& 238092 ,2023 ,849.7 ,31 ,13.0 ,244 ,102.5 ,244 ,102.5 
Contulmo ,6330 ,48 ,758.3 ,0 ,0.0 ,2 ,31.6 ,2 ,31.6 
Coronel ,& 125829 ,1594 ,1266.8 ,8 ,6.4 ,196 ,155.8 ,196 ,155.8 
Curanilahue ,33892 ,228 ,672.7 ,2 ,5.9 ,27 ,79.7 ,27 ,79.7 
Florida ,11841 ,68 ,574.3 ,3 ,25.3 ,8 ,67.6 ,8 ,67.6 
Hualpen ,97273 ,905 ,930.4 ,10 ,10.3 ,116 ,119.3 ,116 ,119.3 
Hualqui ,& 26201 ,287 ,1095.4 ,4 ,15.3 ,73 ,278.6 ,72 ,274.8 
Laja ,23873 ,191 ,800.1 ,0 ,0.0 ,9 ,37.7 ,9 ,37.7 
Lebu ,27100 ,53 ,195.6 ,0 ,0.0 ,9 ,33.2 ,9 ,33.2 
LOs Alamos ,22524 ,159 ,705.9 ,0 ,0.0 ,23 ,102.1 ,23 ,102.1 
Los Angeles ,218515 ,1258 ,575.7 ,11 ,5.0 ,76 ,34.8 ,76 ,34.8 
Lota ,45750 ,498 ,1088.5 ,2 ,4.4 ,67 ,146.4 ,67 ,146.4 
Mulchen ,31041 ,142 ,457.5 ,0 ,0.0 ,12 ,38.7 ,12 ,38.7 
Nacimiento ,27944 ,173 ,619.1 ,4 ,14.3 ,7 ,25.1 ,7 ,25.1 
Negrete ,10429 ,136 ,1304.1 ,2 ,19.2 ,4 ,38.4 ,4 ,38.4 
