Papudo,6201,0,0.0,O,0.0,O,0.0,0OOO,OOOOO,OOO
Petorca ,10558 ,7 ,66.3 ,1 ,9.5 ,1 ,9.5 ,O O O 1 ,4 1 O O O ,O 1 O 
Puchuncavi ,20071 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O ,O O O O O ,O 0 0 
Putaendo ,17645 ,12 ,68.0 ,5 ,28.3 ,5 ,28.3 ,O O O 1 ,O O 1 3 2 ,2 3 O 
Quillota8 ,97572 ,39 ,40.0 ,11 ,11.3 ,11 ,11.3 ,O 1 O 3 ,7 3 6 1 5 ,3 9 1 
Quilpue ,167085 ,88 ,52.7 ,34 ,20.3 ,34 ,20.3 ,0 1 3 3 ,9 6 4 5 10 ,17 27 3 
Quintero ,36135 ,23 ,63.7 ,10 ,27.7 ,10 ,27.7 ,O O O 3 ,1 O O 6 2 ,2 9 0 
Rinconada ,11263 ,3 ,26.6 ,O ,0.0 ,O ,0.0 ,O O O O ,O 3 O O O ,O 0 0 
San Antonio ,96761 ,191 ,197.4 ,59 ,61.0 ,59 ,61.0 ,0 O O O ,5 14 10 22 35 ,63 41 1 
San Esteban ,20643 ,9 ,43.6 ,5 ,24.2 ,5 ,24.2 ,O O O O ,O O O 1 2 ,2 3 1 
San Felipe ,83494 ,30 ,35.9 ,18 ,21.6 ,18 ,21.6 ,O O O 3 ,2 2 O O 2 ,4 12 5 
Santa Maria ,16367 ,20 ,122.2 ,3 ,18.3 ,3 ,18.3 ,O O O O ,2 O O 1 5 ,11 1 0 
Santo Domingo ,11934 ,29 ,243.0 ,7 ,58.7 ,7 ,58.7 ,O O 2 1 ,O 6 4 4 4 ,4 3 1 
Valparaiso8 ,315732 ,255 ,80.8 ,97 ,30.7 ,93 ,29.5 ,0 1 2 10 ,15 12 17 14 29 ,77 69 9 
Villa Alemana ,139310 ,64 ,45.9 ,33 ,23.7 ,33 ,23.7 ,O O 1 7 ,3 3 O 1 5 ,23 17 4 
Vina del Mar& ,361371 ,275 ,76.1 ,105 ,29.1 ,103 ,28.5 ,O 1 6 21 ,27 21 12 18 20 ,61 73 15 
Zapallar ,7994 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O ,O O O O O ,O O O 
Total ,1960170 ,1344 ,68.6 ,510 ,26.0 ,502 ,25.6 ,0 5 15 71 ,102 96 81 100 151 ,322 348 53 
