VinadelMar,&1O5,23,27,23,12,22,26,77,144,201,235,302,401,391,445,419,327,131,0
Zapallar ,& 0 O O ,O ,O ,0 ,O ,O ,O ,O ,0 ,O ,O ,1 ,2 ,3 ,18 ,14 ,13 ,6 ,O 
Desconocido ,& 0 O O ,2 ,3 ,2 ,1 ,1 ,0 ,O ,11 ,8 ,5 ,42 ,29 ,37 ,65 ,58 ,78 ,59 ,0 
Total ,3 4 14 ,82 ,108 ,108 ,91 ,110 ,161 ,380 ,647 ,1014 ,1264 ,1776 ,2641 ,2636 ,2766 ,2486 ,2146 ,1024 ,0 
