Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Antofagasta ,685 ,86 ,914 ,947 
Calama ,409 ,151 ,923 ,976 
Maria Elena ,759 ,69 ,951 ,100 
Mejillones ,785 ,107 ,949 ,100 
Ollague ,100 ,- ,100 ,- 
San Pedro de Atacama ,732 ,134 ,882 ,100 
Sierra Gorda ,810 ,48 ,840 ,100 
Taltal ,483 ,183 ,100 ,100 
Tocopilla ,732 ,42 ,914 ,889 
Total ,642 ,97 ,917 ,958 
