ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos,NumerodeCasosRecuperados
Region de Arica y Parinacota ,252110 ,1544 ,612.4 ,388 ,153.9 ,1144 
Region de Tarapaca ,382773 ,5585 ,1459.1 ,991 ,258.9 ,4514 
Region de Antofagasta ,691854 ,7172 ,1036.6 ,1849 ,267.3 ,5224 
Region de Atacama ,314709 ,819 ,260.2 ,299 ,95.0 ,519 
Region de Coquimbo ,836096 ,2814 ,336.6 ,784 ,93.8 ,2013 
Region de Valparaiso ,1960170 ,12116 ,618.1 ,3042 ,155.2 ,8907 
Region Metropolitana de Santiago ,8125072 ,220276 ,2711.1 ,30379 ,373.9 ,185987 
Region del Libertador General Bernardo OHiggins ,991063 ,5066 ,511.2 ,2088 ,210.7 ,2930 
Region de Maule ,1131939 ,4874 ,430.6 ,1458 ,128.8 ,3387 
Region del Nuble ,511551 ,2521 ,492.8 ,632 ,123.5 ,1861 
Region del Biobio ,1663696 ,5978 ,359.3 ,2210 ,132.8 ,3738 
Region de la Araucania ,1014343 ,3135 ,309.1 ,355 ,35.0 ,2739 
Region de Los Rios ,405835 ,659 ,162.4 ,136 ,33.5 ,513 
Region de Los Lagos ,891440 ,1479 ,165.9 ,317 ,35.6 ,1145 
Region de Aysen del General Carlos Ibanez del Campo ,107297 ,24 ,22.4 ,5 ,4.7 ,19 
Region de Magallanes y la Antartica Chilena ,178362 ,1384 ,776.0 ,173 ,97.0 ,1195 
Desconocido ,- ,202 ,- ,17 ,,184 
Total pais ,19458310 ,275648 ,1416.6 ,45123 ,231.9 ,226019 
