Comuna,NO,Poblacion,Tasa
Corral ,- ,5447 ,"0,0 "
Futrono ,- ,15261 ,"13,1 "
La Union ,9 ,39538 ,"22,8 "
Lago Ranco ,- ,10292 ,"9,7 "
Lanco ,- ,17652 ,"5,7 "
Los Lagos ,- ,20518 ,"0,0 "
Mafil ,- ,7389 ,"13,5 "
Mariquina ,- ,23250 ,"8,6 "
Paillaco ,- ,20798 ,"4,8 "
Panguipulli ,- ,35991 ,"0,0 "
Rio Bueno ,- ,32925 ,"6,1 "
Valdivia ,45 ,176774 ,"25,5 "
Total ,64 ,405835 ,"15,8 "
