Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Futrono ,15261 ,61 ,399.7 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
La Union & ,39538 ,100 ,252.9 ,3 ,7.6 ,4 ,10.1 ,4 ,10.1 
Lago Ranco ,10292 ,7 ,68.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Lanco ,17652 ,28 ,158.6 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Los Lagos ,20518 ,63 ,307.0 ,1 ,4.9 ,O ,0.0 ,0 ,0.0 
Mafil ,7389 ,29 ,392.5 ,0 ,0.0 ,9 ,121.8 ,9 ,121.8 
Mariquina ,23250 ,37 ,159.1 ,0 ,0.0 ,4 ,17.2 ,4 ,17.2 
Paillaco ,20798 ,38 ,182.7 ,1 ,4.8 ,5 ,24.0 ,5 ,24.0 
Panguipulli ,35991 ,65 ,180.6 ,1 ,2.8 ,O ,0.0 ,0 ,0.0 
Rio Bueno ,32925 ,35 ,106.3 ,0 ,0.0 ,4 ,12.1 ,4 ,12.1 
Valdivia ,176774 ,445 ,251.7 ,6 ,3.4 ,44 ,24.9 ,44 ,24.9 
Desconocido & ,- ,6 ,- ,O ,- ,O ,- ,0 ,- 
,,,,,,,,,
Total ,405835 ,940 ,,12 ,,70 ,,70 ,
