Grupoedad,Hombre,Mujer
00 04 anos ,1651 ,1477 
05 09 anos ,1200 ,1124 
10 14 anos ,1420 ,1383 
15 19 anos ,2455 ,2715 
20 24 anos ,7089 ,6852 
25 29 anos ,11878 ,11231 
30 34 anos ,12240 ,10729 
35 39 anos ,10176 ,8522 
40 44 anos ,8427 ,7062 
45 49 anos ,8146 ,7373 
50 54 anos ,7772 ,6858 
55 59 anos ,7244 ,6175 
60 64 anos ,5378 ,4299 
65 69 anos ,3296 ,2807 
70 74 anos ,2353 ,2155 
75 79 anos ,1608 ,1621 
80 y mas anos ,1868 ,2846 
