Grupoedad,Hombre,Mujer
00 04 anos ,3022 ,2772 
05 09 anos ,2374 ,2240 
10 14 anos ,2731 ,2815 
15 19 anos ,4837 ,5509 
20 24 anos ,13089 ,12980 
25 29 anos ,20984 ,20400 
30 34 anos ,21431 ,19130 
35 39 anos ,17815 ,15286 
40 44 anos ,14831 ,12823 
45 49 anos ,14412 ,13459 
50 54 anos ,13736 ,12709 
55 59 anos ,12947 ,11536 
60 64 anos ,9647 ,8096 
65 69 anos ,6038 ,5308 
70 74 anos ,4228 ,4040 
