Talagante,81838,68,83.1,28,34.2,28,34.2,00,0,4,7,7,4,10,6,21,90
Tiltil ,21477 ,13 ,60.5 ,2 ,9.3 ,2 ,9.3 ,0 0 ,0 ,2 ,1 ,2 ,1 ,1 ,3 ,2 ,1 0 
Vitacura ,96774 ,251 ,259.4 ,99 ,102.3 ,99 ,102.3 ,0 7 ,31 ,45 ,28 ,13 ,5 ,5 ,13 ,45 ,59 0 
Total ,8125072 ,21264 ,261.7 ,9365 ,115.3 ,9331 ,114.8 ,8 62 ,321 ,934 ,1013 ,1235 ,1526 ,2157 ,3929 ,6955 ,3122 0 
