Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,6775 ,179 ,2642.1 ,2 ,29.5 ,2 ,29.5 
Antuco ,4306 ,67 ,1556.0 ,2 ,46.4 ,2 ,46.4 
Arauco ,38679 ,591 ,1528.0 ,43 ,111.2 ,43 ,111.2 
Cabrero ,30725 ,218 ,709.5 ,28 ,91.1 ,28 ,91.1 
Canete ,37003 ,248 ,670.2 ,33 ,89.2 ,33 ,89.2 
Chiguayante ,& 91180 ,1201 ,1317.2 ,222 ,243.5 ,221 ,242.4 
Concepcion ,& 238092 ,3282 ,1378.5 ,579 ,243.2 ,578 ,242.8 
Contulmo ,6330 ,59 ,932.1 ,6 ,94.8 ,6 ,94.8 
Coronel ,& 125829 ,2111 ,1677.7 ,225 ,178.8 ,225 ,178.8 
Curanilahue ,33892 ,333 ,982.5 ,82 ,241.9 ,82 ,241.9 
Florida ,11841 ,101 ,853.0 ,12 ,101.3 ,12 ,101.3 
Hualpen ,& 97273 ,1453 ,1493.7 ,238 ,244.7 ,238 ,244.7 
Hualqui ,& 26201 ,426 ,1625.9 ,63 ,240.4 ,63 ,240.4 
Laja ,& 23873 ,200 ,837.8 ,3 ,12.6 ,3 ,12.6 
Lebu ,27100 ,81 ,298.9 ,10 ,36.9 ,10 ,36.9 
LOs Alamos ,22524 ,225 ,998.9 ,38 ,168.7 ,38 ,168.7 
Los Angeles ,& 218515 ,1502 ,687.4 ,108 ,49.4 ,108 ,49.4 
Lota ,45750 ,659 ,1440.4 ,66 ,144.3 ,66 ,144.3 
Mulchen ,31041 ,262 ,844.0 ,75 ,241.6 ,75 ,241.6 
Nacimiento ,27944 ,233 ,833.8 ,25 ,89.5 ,25 ,89.5 
Negrete ,10429 ,188 ,1802.7 ,17 ,163.0 ,17 ,163.0 
