Panquehue&,7633,60,786.1,0,0.0,8,104.8,8,104.8,00OO,0000,004,56,4,15,810,80
Papudo& ,6201 ,69 ,1112.7 ,1 ,16.1 ,7 ,112.9 ,7 ,112.9 ,0 O 0 0 ,0 0 0 1 ,O 0 0 ,6 4 ,13 ,16 ,12 10 ,6 1 
Petorca ,10558 ,59 ,558.8 ,1 ,9.5 ,12 ,113.7 ,12 ,113.7 ,O 0 0 1 ,4 2 0 0 ,0 0 1 ,4 5 ,9 ,4 ,5 12 ,12 0 
Puchuncavi& ,20071 ,126 ,627.8 ,4 ,19.9 ,23 ,114.6 ,23 ,114.6 ,O O 0 O ,0 0 0 O ,O 0 4 ,7 6 ,7 ,30 ,25 24 ,19 4 
Putaendo ,17645 ,171 ,969.1 ,0 ,0.0 ,41 ,232.4 ,41 ,232.4 ,O O 0 1 ,0 1 2 4 ,2 2 7 ,7 7 ,14 ,29 ,27 27 ,28 13 
Quillota& ,97572 ,1049 ,1075.1 ,17 ,17.4 ,248 ,254.2 ,247 ,253.1 ,O 1 0 3 ,7 3 8 1 ,5 3 17 ,20 47 ,82 ,193 ,193 218 ,181 67 
Quilpue& ,167085 ,1139 ,681.7 ,15 ,9.0 ,234 ,140.0 ,233 ,139.4 ,0 1 3 3 ,9 6 5 5 ,12 19 48 ,76 79 ,109 ,158 ,156 216 ,166 68 
Quintero& ,36135 ,307 ,849.6 ,6 ,16.6 ,44 ,121.8 ,44 ,121.8 ,1 O 0 3 ,1 1 0 6 ,2 3 24 ,23 28 ,39 ,49 ,39 44 ,39 5 
Rinconada ,11263 ,137 ,1216.4 ,3 ,26.6 ,22 ,195.3 ,22 ,195.3 ,O O 0 O ,0 4 0 0 ,0 0 2 ,14 18 ,15 ,19 ,20 23 ,15 7 
San Antonio& ,96761 ,1027 ,1061.4 ,29 ,30.0 ,109 ,112.6 ,109 ,112.6 ,0 O 0 0 ,6 14 11 22 ,38 69 61 ,102 95 ,137 ,142 ,123 98 ,87 22 
San Esteban ,20643 ,152 ,736.3 ,1 ,4.8 ,39 ,188.9 ,38 ,184.1 ,0 O 0 O ,0 1 0 1 ,2 2 7 ,3 10 ,16 ,32 ,19 20 ,28 11 
San Felipe8 ,83494 ,912 ,1092.3 ,19 ,22.8 ,158 ,189.2 ,158 ,189.2 ,0 O 0 3 ,2 2 O 1 ,2 6 19 ,60 70 ,116 ,182 ,177 114 ,120 38 
Santa Maria ,16367 ,161 ,983.7 ,3 ,18.3 ,29 ,177.2 ,28 ,171.1 ,O O 0 0 ,2 0 0 0 ,4 15 3 ,5 8 ,13 ,18 ,30 34 ,20 9 
Santo Domingo& ,11934 ,132 ,1106.1 ,1 ,8.4 ,13 ,108.9 ,13 ,108.9 ,O 0 2 1 ,0 6 4 4 ,4 5 4 ,11 6 ,9 ,31 ,21 11 ,7 6 
Valparaiso& ,315732 ,3038 ,962.2 ,55 ,17.4 ,491 ,155.5 ,490 ,155.2 ,0 1 2 9 ,16 14 18 16 ,26 83 114 ,149 238 ,326 ,493 ,533 509 ,351 140 
Villa Alemana8 ,139310 ,1098 ,788.2 ,13 ,9.3 ,190 ,136.4 ,189 ,135.7 ,O O 1 8 ,4 3 0 1 ,5 30 40 ,50 71 ,122 ,182 ,185 206 ,122 68 
Vina del Mar& ,361371 ,2816 ,779.3 ,64 ,17.7 ,483 ,133.7 ,479 ,132.6 ,O 0 6 21 ,29 22 13 22 ,26 79 141 ,203 233 ,297 ,404 ,390 447 ,382 101 
Zapallar ,7994 ,38 ,475.4 ,2 ,25.0 ,14 ,175.1 ,14 ,175.1 ,0 0 0 0 ,0 0 0 0 ,0 0 0 ,0 0 ,1 ,2 ,3 18 ,11 3 
Desconocido& ,,356 ,- ,0 ,,152 ,- ,152 ,- ,0 0 0 1 ,3 2 1 1 ,O 0 11 ,7 6 ,36 ,31 ,38 67 ,65 87 
,,,,,,,,,,,,,,,,,
Total ,1960170 ,16860 ,860.1 ,331 ,16.9 ,3117 ,159.0 ,3099 ,158.1 ,2 4 15 76 ,111 106 90 109 ,161 380 640 ,1007 1265 ,1765 ,2631 ,2631 2750 ,2278 839 
