Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& 425725 ,9996 ,2348.0 ,510 ,119.8 ,507 ,119.1 
Calama ,& 190336 ,7259 ,3813.8 ,194 ,101.9 ,192 ,100.9 
Maria Elena ,6814 ,347 ,5092.5 ,7 ,102.7 ,7 ,102.7 
Mejillones ,14776 ,554 ,3749.3 ,21 ,142.1 ,21 ,142.1 
Ollague ,287 ,24 ,8362.4 ,O ,0.0 ,O ,0.0 
San Pedro de Atacama ,10434 ,339 ,3249.0 ,15 ,143.8 ,15 ,143.8 
Sierra Gorda ,1746 ,79 ,4524.6 ,1 ,57.3 ,1 ,57.3 
Taltal ,13657 ,168 ,1230.1 ,2 ,14.6 ,2 ,14.6 
Tocopilla ,28079 ,333 ,1185.9 ,20 ,71.2 ,20 ,71.2 
Desconocido ,& - ,279 ,- ,13 ,- ,13 ,- 
Total ,691854 ,19378 ,2800.9 ,783 ,113.2 ,778 ,112.5 
