Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporciondecontactos,casosconidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con Contactos ,% ,Contactos Nuevos ,Investigados ,% 
Cauquenes ,4 ,4 ,100 ,3 ,750 ,4 ,4 ,100 
Chanco ,2 ,2 ,100 ,2 ,100 ,2 ,2 ,100 
Colbun ,13 ,13 ,100 ,10 ,769 ,13 ,13 ,100 
Constitucion ,15 ,14 ,933 ,10 ,667 ,15 ,14 ,933 
Curepto ,17 ,17 ,100 ,15 ,882 ,17 ,17 ,100 
Curico ,39 ,31 ,795 ,30 ,769 ,39 ,31 ,795 
Empedrado ,- ,,- ,,- ,- ,- ,- 
Hualane ,- ,- ,- ,- ,- ,- ,- ,- 
Licanten ,- ,- ,- ,- ,- ,- ,- ,- 
Linares ,60 ,44 ,733 ,46 ,767 ,60 ,44 ,733 
Longavi ,13 ,10 ,769 ,8 ,615 ,13 ,10 ,769 
Maule ,43 ,33 ,767 ,38 ,884 ,43 ,33 ,767 
Molina ,24 ,21 ,875 ,20 ,833 ,24 ,21 ,875 
Parral ,13 ,11 ,846 ,12 ,923 ,13 ,11 ,846 
Pelarco ,3 ,O ,00 ,O ,00 ,3 ,O ,00 
