Region,Poblacion,Confirmados,Tasaincidencia
Cauquenes ,44143 ,4 ,9.1 
Chanco ,9331 ,- ,0.0 
Colbun ,22565 ,5 ,22.2 
Constitucion ,50348 ,- ,6.0 
Curepto ,9426 ,- ,0.0 
Curico ,163626 ,13 ,7.9 
Empedrado ,4206 ,- ,0.0 
Hualane ,10222 ,- ,0.0 
Licanten ,6989 ,- ,0.0 
Linares ,101073 ,11 ,10.9 
Longavi ,32810 ,- ,6.1 
Maule ,60000 ,- ,3.3 
Molina ,49800 ,- ,6.0 
Parral ,44544 ,- ,6.7 
Pelarco ,9083 ,- ,0.0 
Pelluhue ,8092 ,- ,12.4 
Pencahue ,8601 ,- ,0.0 
Rauco ,11248 ,- ,8.9 
Retiro ,21071 ,- ,0.0 
Rio Claro ,14753 ,- ,6.8 
Romeral ,16170 ,- ,12.4 
Sagrada Familia ,19469 ,- ,5.1 
San Clemente ,46292 ,- ,0.0 
San Javier ,49451 ,7 ,14.2 
San Rafae ,9959 ,- ,10.0 
Talca ,236724 ,48 ,20.3 
Teno ,30850 ,- ,0.0 
Vichuquen ,4381 ,- ,0.0 
Villa Alegre ,17512 ,- ,0.0 
Yerbas Buenas ,19200 ,- ,0.0 
Total ,1131939 ,108 ,9.5 
