16-03-20,283,1,2,87,1,1,
17-03-20 ,256 ,2 ,1 ,148 ,2 ,,
18-03-20 ,271 ,1 ,2 ,112 ,1 ,1 ,
19-03-20 ,294 ,2 ,1 ,153 ,2 ,2 ,
20-03-20 ,366 ,1 ,2 ,176 ,1 ,,
21-03-20 ,312 ,3 ,,167 ,3 ,,
22-03-20 ,300 ,5 ,,155 ,5 ,,
23-03-20 ,397 ,2 ,3 ,215 ,2 ,1 ,
24-03-20 ,329 ,7 ,1 ,286 ,7 ,1 ,
25-03-20 ,341 ,3 ,6 ,357 ,3 ,2 ,
26-03-20 ,345 ,4 ,1 ,378 ,4 ,1 ,
27-03-20 ,352 ,5 ,5 ,383 ,5 ,1 ,
28-03-20 ,324 ,7 ,1 ,274 ,7 ,4 ,
29-03-20 ,283 ,9 ,3 ,300 ,9 ,1 ,
30-03-20 ,382 ,12 ,1 ,373 ,12 ,4 ,
31-03-20 ,330 ,9 ,,355 ,9 ,,
01-04-20 ,474 ,4 ,6 ,352 ,4 ,1 ,
02-04-20 ,384 ,10 ,6 ,441 ,10 ,3 ,
03-04-20 ,391 ,8 ,3 ,427 ,8 ,,
04-04-20 ,380 ,9 ,3 ,321 ,9 ,,
05-04-20 ,339 ,12 ,8 ,240 ,12 ,1 ,
06-04-20 ,422 ,30 ,9 ,467 ,30 ,,
07-04-20 ,382 ,36 ,3 ,503 ,36 ,1 ,
08-04-20 ,401 ,22 ,1 ,471 ,22 ,2 ,
09-04-20 ,429 ,41 ,1 ,433 ,41 ,,
10-04-20 ,449 ,18 ,2 ,250 ,18 ,,
11-04-20 ,337 ,29 ,2 ,291 ,29 ,1 ,
12-04-20 ,372 ,29 ,1 ,211 ,29 ,2 ,
13-04-20 ,549 ,64 ,5 ,562 ,64 ,,
14-04-20 ,487 ,57 ,,506 ,57 ,3 ,
15-04-20 ,615 ,60 ,3 ,572 ,60 ,1 ,
16-04-20 ,565 ,62 ,1 ,585 ,62 ,,
17-04-20 ,573 ,61 ,3 ,542 ,61 ,2 ,
18-04-20 ,528 ,37 ,2 ,444 ,37 ,1 ,
19-04-20 ,510 ,35 ,2 ,329 ,35 ,1 ,
20-04-20 ,928 ,143 ,12 ,611 ,143 ,,
21-04-20 ,688 ,105 ,5 ,617 ,105 ,4 ,
22-04-20 ,784 ,79 ,4 ,713 ,79 ,3 ,
23-04-20 ,843 ,69 ,3 ,732 ,69 ,5 ,
24-04-20 ,1039 ,86 ,8 ,739 ,86 ,1 ,
25-04-20 ,1036 ,60 ,12 ,515 ,60 ,3 ,
26-04-20 ,1052 ,73 ,12 ,432 ,73 ,2 ,
27-04-20 ,1691 ,81 ,21 ,1173 ,81 ,6 ,
28-04-20 ,1634 ,130 ,24 ,1338 ,130 ,15 ,
29-04-20 ,1622 ,168 ,21 ,1603 ,168 ,5 ,
30-04-20 ,1951 ,130 ,21 ,1702 ,130 ,13 ,
01-05-20 ,2825 ,49 ,57 ,1113 ,49 ,10 ,
02-05-20 ,2561 ,87 ,49 ,1551 ,87 ,5 ,
03-05-20 ,2724 ,84 ,50 ,1573 ,84 ,27 ,
04-05-20 ,3698 ,183 ,49 ,2916 ,183 ,34 ,
05-05-20 ,3369 ,288 ,42 ,3067 ,288 ,30 ,
06-05-20 ,3362 ,274 ,48 ,3074 ,274 ,44 ,
07-05-20 ,3566 ,253 ,29 ,3328 ,253 ,43 ,
08-05-20 ,4056 ,312 ,50 ,3444 ,312 ,18 ,
