ZonadeChile,Poblacion,CasosAcumulados,CasosFallecidos,Tasaincidenciaacumulada,Tasamortalidadacumulada,TasaLetalidad
Region de Arica y Parinacota ,252110 ,782 ,9 ,310.2 ,3.6 ,1.20% 
Region de Tarapaca ,382773 ,2965 ,28 ,774.6 ,7.3 ,0.90% 
Region de Antofagasta ,691854 ,2924 ,42 ,422.6 ,6.1 ,1.40% 
Region de Atacama ,314709 ,269 ,0 ,85.5 ,0.0 ,0.00% 
Region de Coquimbo ,836096 ,832 ,5 ,99.5 ,0.6 ,0.60% 
Region de Valparaiso ,1960170 ,4266 ,88 ,217.6 ,4.5 ,2.10% 
Region Metropolitana de Santiago ,8125072 ,99066 ,1105 ,1219.3 ,13.6 ,1.10% 
Region del Libertador General Bernardo OHiggins ,991063 ,1016 ,22 ,102.5 ,2.2 ,2.20% 
Region de Maule ,1131939 ,1834 ,24 ,162.0 ,2.1 ,1.30% 
Region del Nuble ,511551 ,1429 ,24 ,279.3 ,4.7 ,1.70% 
Region de Biobio ,1663696 ,2379 ,13 ,143.0 ,0.8 ,0.50% 
Region de la Araucania ,1014343 ,2288 ,48 ,225.6 ,4.7 ,2.10% 
Region de Los Rios ,405835 ,390 ,8 ,96.1 ,2.0 ,2.10% 
Region de Los Lagos ,891440 ,968 ,13 ,108.6 ,1.5 ,1.30% 
Region de Aysen de General Carlos lbanez del Campo ,107297 ,19 ,O ,17.7 ,0.0 ,0.00% 
Region de Magallanes y la Antartica Chilena ,178362 ,1072 ,19 ,601.0 ,10.7 ,1.80% 
Total pais ,19458310 ,122499 ,1448 ,629.5 ,7.4 ,1.20% 
