Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antartica ,137 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Cabo de Hornos ,1983 ,22 ,1109.4 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Laguna Blanca ,264 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Natales ,23782 ,57 ,239.7 ,O ,0.0 ,4 ,16.8 ,4 ,16.8 
Porvenir ,7323 ,17 ,232.1 ,O ,0.0 ,7 ,95.6 ,7 ,95.6 
Primavera ,694 ,3 ,432.3 ,O ,0.0 ,2 ,288.2 ,2 ,288.2 
Punta Arenas ,141984 ,2074 ,1460.7 ,30 ,21.1 ,337 ,237.4 ,337 ,237.4 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Timaukel ,282 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Torres del Paine ,1021 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Desconocido ,- ,71 ,- ,O ,- ,1 ,- ,1 ,- 
Total ,178362 ,2246 ,1259.2 ,30 ,16.8 ,351 ,196.8 ,351 ,196.8 
