,,,,,,Numero,deCasos,segunFechade,Iniciode,Sintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE 14 ,SE SE 15 16 ,SE SE 17 18 ,SE 19 ,SE SE 20 21 ,SE SE 22 23 
Alto Biobio ,6775 ,88 ,1298.9 ,79 ,1166.1 ,79 ,1166.1 ,0 0 0 0 ,0 ,0 ,0 0 ,0 0 ,0 ,7 37 ,44 0 
Antuco ,4306 ,16 ,371.6 ,12 ,278.7 ,12 ,278.7 ,0 0 0 O ,O ,0 ,0 0 ,O O ,2 ,2 1 ,11 0 
Arauco ,38679 ,63 ,162.9 ,33 ,85.3 ,33 ,85.3 ,O O 1 2 ,2 ,1 ,0 O ,O 5 ,4 ,13 16 ,19 0 
Cabrero ,30725 ,29 ,94.4 ,4 ,13.0 ,4 ,13.0 ,O O O 1 ,O ,4 ,3 7 ,1 3 ,4 ,2 2 ,2 0 
Canete ,37003 ,14 ,37.8 ,13 ,35.1 ,13 ,35.1 ,0 O O O ,O ,O ,0 0 ,O O ,O ,1 9 ,4 0 
Chiguayante ,91180 ,108 ,118.4 ,19 ,20.8 ,19 ,20.8 ,0 O 5 5 ,9 ,16 ,11 10 ,11 8 ,6 ,7 6 ,14 0 
"& Concepcion"" ",238092 ,321 ,134.8 ,120 ,50.4 ,119 ,50.0 ,1 1 6 28 ,28 ,22 ,21 18 ,14 19 ,18 ,19 78 ,48 O 
Contulmo ,6330 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 O ,O ,O ,0 0 ,O O ,O ,O O ,O 0 
Coronel ,125829 ,159 ,126.4 ,103 ,81.9 ,102 ,81.1 ,0 O 1 6 ,6 ,4 ,1 O ,5 2 ,14 ,14 46 ,60 0 
Curanilahue ,33892 ,7 ,20.7 ,2 ,5.9 ,2 ,5.9 ,O O 0 1 ,O ,0 ,O 0 ,O 1 ,3 ,O 2 ,O 0 
Florida ,11841 ,5 ,42.2 ,1 ,8.4 ,1 ,8.4 ,0 O 0 O ,2 ,1 ,0 0 ,0 0 ,1 ,0 1 ,0 0 
Hualpen ,97273 ,159 ,163.5 ,18 ,18.5 ,18 ,18.5 ,0 O 3 24 ,33 ,27 ,17 8 ,2 5 ,11 ,9 12 ,8 O 
Hualqui ,26201 ,43 ,164.1 ,16 ,61.1 ,16 ,61.1 ,O O 1 1 ,2 ,3 ,4 9 ,O O ,2 ,4 11 ,6 O 
Laja ,23873 ,62 ,259.7 ,10 ,41.9 ,10 ,41.9 ,0 1 1 O ,3 ,1 ,1 1 ,5 1 ,17 ,20 8 ,3 0 
Lebu ,27100 ,3 ,11.1 ,1 ,3.7 ,1 ,3.7 ,0 0 0 0 ,0 ,0 ,0 0 ,0 1 ,1 ,0 0 ,1 0 
Los Alamos ,22524 ,2 ,8.9 ,O ,0.0 ,O ,0.0 ,O 0 O O ,O ,O ,1 O ,O O ,O ,1 O ,O O 
Los Angeles ,218515 ,236 ,108.0 ,84 ,38.4 ,84 ,38.4 ,0 O 4 7 ,9 ,6 ,5 4 ,O 3 ,32 ,61 78 ,27 0 
Lota ,45750 ,54 ,118.0 ,25 ,54.6 ,25 ,54.6 ,0 0 0 1 ,O ,0 ,0 0 ,O 1 ,16 ,9 14 ,13 0 
Mulchen ,31041 ,20 ,64.4 ,9 ,29.0 ,9 ,29.0 ,O 0 O 1 ,4 ,0 ,0 O ,O 2 ,3 ,1 1 ,8 O 
Nacimiento ,27944 ,37 ,132.4 ,11 ,39.4 ,11 ,39.4 ,0 O 0 2 ,3 ,3 ,2 O ,1 3 ,8 ,4 7 ,4 0 
Negrete ,10429 ,39 ,374.0 ,15 ,143.8 ,15 ,143.8 ,0 O O O ,O ,2 ,0 0 ,O O ,7 ,12 10 ,8 0 
