Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,6775 ,178 ,2627.3 ,2 ,29.5 ,2 ,29.5 
Antuco ,& 4306 ,65 ,1509.5 ,O ,0.0 ,0 ,0.0 
Arauco ,38679 ,558 ,1442.6 ,69 ,178.4 ,69 ,178.4 
Cabrero ,30725 ,197 ,641.2 ,26 ,84.6 ,26 ,84.6 
Canete ,& 37003 ,227 ,613.5 ,47 ,127.0 ,47 ,127.0 
Chiguayante ,& 91180 ,1043 ,1143.9 ,214 ,234.7 ,213 ,233.6 
Concepcion ,& 238092 ,2879 ,1209.2 ,530 ,222.6 ,530 ,222.6 
Contulmo ,6330 ,56 ,884.7 ,4 ,63.2 ,4 ,63.2 
Coronel ,& 125829 ,1959 ,1556.9 ,209 ,166.1 ,209 ,166.1 
Curanilahue ,33892 ,267 ,787.8 ,30 ,88.5 ,30 ,88.5 
Florida ,11841 ,93 ,785.4 ,18 ,152.0 ,18 ,152.0 
Hualpen ,& 97273 ,1290 ,1326.2 ,228 ,234.4 ,225 ,231.3 
Hualqui ,26201 ,382 ,1458.0 ,64 ,244.3 ,64 ,244.3 
Laja ,& 23873 ,197 ,825.2 ,5 ,20.9 ,5 ,20.9 
Lebu ,27100 ,73 ,269.4 ,12 ,44.3 ,12 ,44.3 
LOs Alamos ,22524 ,198 ,879.1 ,20 ,88.8 ,20 ,88.8 
Los Angeles ,& 218515 ,1449 ,663.1 ,130 ,59.5 ,129 ,59.0 
Lota ,& 45750 ,614 ,1342.1 ,68 ,148.6 ,68 ,148.6 
Mulchen ,31041 ,198 ,637.9 ,44 ,141.7 ,44 ,141.7 
Nacimiento ,27944 ,219 ,783.7 ,37 ,132.4 ,37 ,132.4 
Negrete ,10429 ,178 ,1706.8 ,24 ,230.1 ,24 ,230.1 
