Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& 425725 ,8867 ,2082.8 ,162 ,38.1 ,756 ,177.6 ,754 ,177.1 
Calama ,& 190336 ,6902 ,3626.2 ,213 ,111.9 ,277 ,145.5 ,277 ,145.5 
Maria Elena ,6814 ,337 ,4945.7 ,13 ,190.8 ,8 ,117.4 ,8 ,117.4 
Mejillones ,14776 ,520 ,3519.2 ,5 ,33.8 ,23 ,155.7 ,23 ,155.7 
Ollague ,287 ,24 ,8362.4 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
San Pedro de Atacama ,& 10434 ,305 ,2923.1 ,9 ,86.3 ,25 ,239.6 ,25 ,239.6 
Sierra Gorda ,1746 ,77 ,4410.1 ,1 ,57.3 ,3 ,171.8 ,3 ,171.8 
Taltal ,13657 ,153 ,1120.3 ,4 ,29.3 ,11 ,80.5 ,11 ,80.5 
Tocopilla ,28079 ,298 ,1061.3 ,9 ,32.1 ,13 ,46.3 ,13 ,46.3 
Desconocido ,& - ,261 ,- ,0 ,- ,41 ,- ,41 ,- 
Total ,691854 ,17744 ,2564.7 ,416 ,60.1 ,1157 ,167.2 ,1155 ,166.9 
