Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,44143 ,429 ,971.8 ,11 ,24.9 ,11 ,24.9 
Chanco ,9331 ,63 ,675.2 ,9 ,96.5 ,9 ,96.5 
Colbun ,22565 ,273 ,1209.8 ,25 ,110.8 ,25 ,110.8 
Constitucion ,50348 ,445 ,883.8 ,25 ,49.7 ,25 ,49.7 
Curepto ,9426 ,107 ,1135.2 ,15 ,159.1 ,15 ,159.1 
Curico ,& 163626 ,2343 ,1431.9 ,51 ,31.2 ,51 ,31.2 
Empedrado ,4206 ,36 ,855.9 ,3 ,71.3 ,3 ,71.3 
Hualane ,10222 ,117 ,1144.6 ,1 ,9.8 ,1 ,9.8 
Licanten ,6989 ,26 ,372.0 ,O ,0.0 ,O ,0.0 
Linares ,& 101073 ,1065 ,1053.7 ,152 ,150.4 ,152 ,150.4 
Longavi ,32810 ,343 ,1045.4 ,27 ,82.3 ,27 ,82.3 
Maule ,& 60000 ,595 ,991.7 ,46 ,76.7 ,46 ,76.7 
Molina ,49800 ,376 ,755.0 ,32 ,64.3 ,32 ,64.3 
Parral ,& 44544 ,282 ,633.1 ,14 ,31.4 ,14 ,31.4 
Pelarco ,9083 ,141 ,1552.4 ,7 ,77.1 ,7 ,77.1 
Pelluhue ,8092 ,97 ,1198.7 ,18 ,222.4 ,17 ,210.1 
Pencahue ,8601 ,74 ,860.4 ,10 ,116.3 ,10 ,116.3 
Rauco ,& 11248 ,124 ,1102.4 ,3 ,26.7 ,3 ,26.7 
Retiro ,21071 ,177 ,840.0 ,5 ,23.7 ,5 ,23.7 
Rio Claro ,14753 ,122 ,827.0 ,5 ,33.9 ,5 ,33.9 
Romeral ,16170 ,310 ,1917.1 ,4 ,24.7 ,4 ,24.7 
