Perquenco,7223,16,221.5,0,0.0,4,55.44,,55.4,OO01,1,O0,30,01,0,O2710
Pitrufquen8 ,26096 ,74 ,283.6 ,0 ,0.0 ,4 ,15.3 4 ,,15.3 ,0 0 O 4 ,9 ,4 O ,1 0 ,O 1 ,6 ,15 22 9 3 0 
Pucon8 ,29782 ,69 ,231.7 ,0 ,0.0 ,9 ,30.2 9 ,,30.2 ,0 0 1 3 ,0 ,4 3 ,1 3 ,0 3 ,2 ,13 19 11 5 1 
Puren ,12188 ,14 ,114.9 ,1 ,8.2 ,5 ,41.0 5 ,,41.0 ,0 0 0 0 ,2 ,O O ,2 0 ,2 1 ,0 ,1 1 0 4 1 
Renaico ,10833 ,32 ,295.4 ,1 ,9.2 ,5 ,46.2 5 ,,46.2 ,0 0 0 0 ,0 ,1 3 ,2 1 ,4 3 ,5 ,4 2 3 3 1 
Saavedra8 ,12793 ,99 ,773.9 ,0 ,0.0 ,6 ,46.9 6 ,,46.9 ,0 0 1 1 ,0 ,1 5 ,8 17 ,13 18 ,10 ,9 5 7 4 O 
Temuco& ,302931 ,897 ,296.1 ,19 ,6.3 ,36 ,11.9 36 ,,11.9 ,0 3 26 156 ,173 ,129 111 ,57 25 ,27 49 ,44 ,27 17 22 24 7 
Teodoro Schmidt ,15786 ,24 ,152.0 ,0 ,0.0 ,13 ,82.4 13 ,,82.4 ,0 0 0 1 ,2 ,O 1 ,1 0 ,0 O ,1 ,3 1 1 13 0 
Tolten ,10055 ,17 ,169.1 ,0 ,0.0 ,0 ,0.0 0 ,,0.0 ,0 0 0 4 ,2 ,2 0 ,0 0 ,0 0 ,2 ,5 1 1 0 0 
Traiguen ,19314 ,36 ,186.4 ,0 ,0.0 ,13 ,67.3 13 ,,67.3 ,0 O O O ,0 ,1 O ,1 0 ,O 1 ,4 ,4 7 7 10 1 
Victoria& ,35467 ,165 ,465.2 ,3 ,8.5 ,31 ,87.4 31 ,,87.4 ,0 0 1 2 ,9 ,2 2 ,30 20 ,11 2 ,4 ,18 15 24 20 5 
Vilcun& ,30766 ,105 ,341.3 ,1 ,3.3 ,5 ,16.3 5 ,,16.3 ,0 0 0 6 ,11 ,15 7 ,4 5 ,4 5 ,7 ,21 9 7 1 3 
Villarrica ,59103 ,58 ,98.1 ,0 ,0.0 ,22 ,37.2 22 ,,37.2 ,0 0 0 2 ,10 ,6 1 ,0 1 ,0 1 ,2 ,4 7 7 15 2 
Desconocido ,- ,14 ,- ,0 ,- ,3 ,- 3 ,,- ,0 0 0 1 ,1 ,1 0 ,0 1 ,0 3 ,0 ,3 1 0 2 1 
Total ,1014343 ,2966 ,292.4 ,40 ,3.9 ,400 ,39.4 400 ,,39.4 ,1 4 32 218 ,292 ,244 197 ,198 134 ,100 152 ,183 ,297 293 312 254 55 
