,,,,,,,,Numero,deCasos,segunFechadeIniciodeSintomas.Notificacion,OToma,deMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 ,SE SE 19 20 ,SE SE SE 21 22 23 ,SE 24 ,SE 25 ,SE SE 26 27 
Chepica& ,15925 ,79 ,496.1 ,1 ,6.3 ,20 ,125.6 ,20 ,125.6 ,1 0 0 0 0 0 0 0 0 0 ,1 7 ,0 4 6 ,22 ,18 ,18 2 
Chimbarongo ,37696 ,113 ,299.8 ,3 ,8.0 ,30 ,79.6 ,30 ,79.6 ,0 0 0 2 1 0 0 0 1 1 ,5 13 ,8 7 12 ,17 ,16 ,25 5 
Codegua& ,14096 ,113 ,801.6 ,2 ,14.2 ,38 ,269.6 ,38 ,269.6 ,0 0 0 1 0 0 0 0 0 0 ,1 3 ,7 11 13 ,17 ,22 ,31 7 
Coinco ,7831 ,70 ,893.9 ,3 ,38.3 ,14 ,178.8 ,14 ,178.8 ,O 0 0 O 0 O O 0 1 0 ,4 10 ,8 3 5 ,7 ,18 ,9 5 
Coltauco ,21263 ,99 ,465.6 ,3 ,14.1 ,24 ,112.9 ,24 ,112.9 ,0 0 0 0 0 0 0 0 0 0 ,15 9 ,13 4 4 ,9 ,21 ,19 5 
Donihue& ,22700 ,264 ,1163.0 ,3 ,13.2 ,87 ,383.3 ,87 ,383.3 ,0 0 0 0 0 0 0 1 1 5 ,12 16 ,14 10 20 ,31 ,67 ,57 30 
Graneros ,36504 ,306 ,838.3 ,3 ,8.2 ,74 ,202.7 ,73 ,200.0 ,0 0 0 O 0 O 0 0 3 7 ,13 22 ,24 22 31 ,48 ,62 ,54 20 
La Estrella ,3114 ,30 ,963.4 ,O ,0.0 ,17 ,545.9 ,17 ,545.9 ,0 0 0 O 0 O 0 0 0 0 ,0 0 ,0 1 4 ,6 ,2 ,12 5 
Las Cabras& ,26749 ,121 ,452.4 ,2 ,7.5 ,47 ,175.7 ,47 ,175.7 ,0 0 0 O 0 O 1 2 4 3 ,2 4 ,3 5 9 ,16 ,25 ,40 7 
Litueche& ,6765 ,61 ,901.7 ,1 ,14.8 ,5 ,73.9 ,5 ,73.9 ,0 0 0 O 0 0 0 1 5 2 ,2 3 ,O 1 6 ,15 ,21 ,5 O 
Lolol ,7289 ,45 ,617.4 ,O ,0.0 ,14 ,192.1 ,14 ,192.1 ,0 0 0 0 0 0 0 0 0 O ,1 2 ,1 10 5 ,7 ,5 ,13 1 
Machali& ,59913 ,731 ,1220.1 ,7 ,11.7 ,244 ,407.3 ,244 ,407.3 ,0 0 1 4 1 O 4 0 5 4 ,9 18 ,25 36 55 ,102 ,223 ,184 60 
Malloa ,14163 ,52 ,367.2 ,2 ,14.1 ,15 ,105.9 ,15 ,105.9 ,0 O O O 0 O O O O O ,1 3 ,1 4 6 ,11 ,11 ,13 2 
Marchihue ,7632 ,13 ,170.3 ,O ,0.0 ,1 ,13.1 ,1 ,13.1 ,0 0 O O O O O O O O ,O 0 ,1 3 O ,5 ,3 ,1 O 
Mostazal& ,27462 ,171 ,622.7 ,3 ,10.9 ,46 ,167.5 ,46 ,167.5 ,0 0 0 O 0 O O 0 O 3 ,4 6 ,15 21 28 ,23 ,25 ,35 11 
Nancagua ,19141 ,66 ,344.8 ,2 ,10.4 ,12 ,62.7 ,12 ,62.7 ,0 0 0 O 0 O 0 0 O 1 ,1 11 ,5 9 7 ,12 ,8 ,5 7 
Navidad ,6904 ,52 ,753.2 ,O ,0.0 ,3 ,43.5 ,3 ,43.5 ,O O O O 0 O O O 3 O ,6 2 ,6 1 11 ,12 ,8 ,3 O 
Olivar& ,14624 ,132 ,902.6 ,2 ,13.7 ,42 ,287.2 ,42 ,287.2 ,0 0 O O 1 2 3 1 0 O ,7 4 ,12 5 12 ,16 ,27 ,31 11 
Palmilla ,13299 ,28 ,210.5 ,2 ,15.0 ,4 ,30.1 ,4 ,30.1 ,0 0 0 O 0 O 0 0 1 O ,O 2 ,3 1 5 ,7 ,5 ,3 1 
Paredones ,6349 ,11 ,173.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 0 O O O 0 0 ,O 2 ,2 1 3 ,2 ,1 ,O O 
