Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto del Carmen ,5729 ,35 ,610.9 ,18 ,314.2 ,18 ,314.2 
Caldera ,& 19426 ,233 ,1199.4 ,61 ,314.0 ,61 ,314.0 
Chanaral ,13164 ,89 ,676.1 ,17 ,129.1 ,17 ,129.1 
Copiapo ,& 171766 ,3722 ,2166.9 ,479 ,278.9 ,478 ,278.3 
Diego de Almagro ,& 14358 ,126 ,877.6 ,49 ,341.3 ,49 ,341.3 
Freirina ,7681 ,119 ,1549.3 ,30 ,390.6 ,29 ,377.6 
Huasco ,11264 ,62 ,550.4 ,15 ,133.2 ,15 ,133.2 
Tierra Amarilla ,& 14312 ,310 ,2166.0 ,44 ,307.4 ,43 ,300.4 
Vallenar ,& 57009 ,635 ,1113.9 ,80 ,140.3 ,80 ,140.3 
Desconocido ,& - ,33 ,- ,4 ,- ,4 ,- 
Total ,314709 ,5364 ,1704.4 ,797 ,253.2 ,794 ,252.3 
