Puren&,12188,7,57.4,1,8.2,1,8.2,0OO,O,2,O,O,2021O
Renaico8 ,10833 ,14 ,129.2 ,4 ,36.9 ,4 ,36.9 ,O 0 O ,O ,O ,1 ,3 ,2 1 4 3 O 
Saavedra ,12793 ,67 ,523.7 ,22 ,172.0 ,22 ,172.0 ,0 O 1 ,1 ,O ,1 ,5 ,8 17 13 15 6 
Temuco& ,302931 ,752 ,248.2 ,58 ,19.1 ,58 ,19.1 ,0 4 26 ,155 ,176 ,129 ,106 ,58 22 24 44 8 
Teodoro Schmidt ,15786 ,5 ,31.7 ,O ,0.0 ,O ,0.0 ,O O O ,1 ,2 ,O ,1 ,1 O O O O 
Tolten ,10055 ,8 ,79.6 ,O ,0.0 ,O ,0.0 ,O O O ,4 ,2 ,2 ,O ,O O O O 0 
Traiguen ,19314 ,3 ,15.5 ,1 ,5.2 ,1 ,5.2 ,0 0 0 ,O ,O ,1 ,0 ,1 O O 1 0 
Victoria ,35467 ,80 ,225.6 ,4 ,11.3 ,4 ,11.3 ,O 0 1 ,2 ,9 ,2 ,3 ,28 21 11 2 1 
Vilcun ,30766 ,58 ,188.5 ,8 ,26.0 ,8 ,26.0 ,0 O O ,6 ,11 ,14 ,7 ,3 5 4 2 6 
Villarrica8 ,59103 ,21 ,35.5 ,1 ,1.7 ,1 ,1.7 ,O O O ,2 ,10 ,6 ,1 ,O 1 O 1 O 
Total ,1014343 ,1556 ,153.4 ,182 ,17.9 ,181 ,17.8 ,1 5 32 ,216 ,293 ,240 ,194 ,197 130 90 115 43 
