Purranque,&21080,250,1186.0,22,104.4,21,99.6
Puyehue ,11787 ,79 ,670.2 ,6 ,50.9 ,6 ,50.9 
Queilen ,5543 ,1 ,18.0 ,0 ,0.0 ,0 ,0.0 
Quellon ,29309 ,7 ,23.9 ,0 ,0.0 ,0 ,0.0 
Quemchi ,8783 ,17 ,193.6 ,0 ,0.0 ,0 ,0.0 
Quinchao ,8298 ,3 ,36.2 ,0 ,0.0 ,0 ,0.0 
Rio Negro ,14275 ,129 ,903.7 ,30 ,210.2 ,30 ,210.2 
San Juan de la Costa ,& 7639 ,132 ,1728.0 ,48 ,628.4 ,48 ,628.4 
San Pablo ,10553 ,49 ,464.3 ,8 ,75.8 ,8 ,75.8 
Desconocido ,& - ,72 ,- ,2 ,- ,2 ,- 
Total ,891440 ,9158 ,1027.3 ,905 ,101.5 ,903 ,101.3 
