Regionderesidencia,Defunciones,Tasaobservada,Tasaajustada
Chile ,6089 ,31.3 ,19.6 
De Arica Y Parinacota ,23 ,9.1 ,6.4 
De Tarapaca ,100 ,261 ,228 
De Antofagasta ,159 ,23.0 ,21.0 
De Atacama ,2 ,0.6 ,0.4 
De Coquimbo ,28 ,3.3 ,1.9 
De Valparaiso ,247 ,12.6 ,6.9 
Metropolitana de Santiago ,5173 ,63.7 ,43.4 
Del Libertador Gral Bernardo O Higgins ,87 ,8.8 ,5.3 
Del Maule ,54 ,4.8 ,2.6 
De Nuble ,38 ,7.4 ,4.0 
Del Biobio ,57 ,3.4 ,2.0 
De La Araucania ,63 ,6.2 ,3.3 
De Los Rios ,11 ,2.7 ,1.5 
De Los Lagos ,22 ,2.5 ,1.5 
De Aisen De Gral C Ibanez Del Campo ,,1 0.9 ,1.1 
De Magallanes y de La Antartica Chilena ,23 ,12.9 ,7.4 
Ignorada ,,1 ,
